src	prediction	entropy
corneect	corneects	4.425662517547607
rupine	rupines	3.5736382007598877
sargenate	sargenates	5.153016090393066
pampaciate	pampaciates	5.652005195617676
counterlate	counterlates	6.248507022857666
crompalalise	crompalalises	6.5604939460754395
condoly	condolies	4.543181896209717
pitropialize	pitropializes	6.4524126052856445
fordwenshot	fordwenshots	5.893902778625488
underforshingle	underforshingles	7.8668012619018555
mokensalize	mokensalizes	6.116011619567871
beconter	beconters	4.325826168060303
sickete	sicketes	3.7805042266845703
dischor	dischors	4.0460205078125
defanele	defaneles	4.744592666625977
repill	repills	3.6898913383483887
restromize	restromizes	5.615508079528809
underprict	cnderpricts	9.10139274597168
extound	extounds	3.8362393379211426
desponialize	desponializes	5.5414299964904785
priffulder	priffulders	5.649918556213379
morrist	morrists	4.053684234619141
compail	compails	4.238946437835693
uncorscille	uncorscilles	6.0383453369140625
consemment	consemments	5.87026309967041
coadflag	coadflags	4.702167987823486
cromotate	cromotates	5.553060054779053
enteave	enteaves	4.862293720245361
prepeath	prepeaths	4.4686598777771
mandle-domble	mandle-dombles	6.812010765075684
empactestalize	empactestalizes	7.050368309020996
sumperturise	sumperturises	6.3830766677856445
slitkle-protall	slitkle-protalls	8.175464630126953
unbatch	unbatches	4.412585258483887
crople	croples	4.217778205871582
besennser	besennsers	4.9563798904418945
properarize	properarizes	6.518849849700928
unplac	unplacs	3.536741018295288
depill	depills	3.443525791168213
encranssiliate	encranssiliates	8.127969741821289
panderalize	panderalizes	5.898247718811035
unspamber	unspambers	5.033308029174805
marderate	marderates	5.268370628356934
redisimate	redisimates	5.450727939605713
redroms	redromses	4.675008773803711
risheat	risheats	4.293239593505859
misendele	misendeles	5.585500717163086
unpounthon	unpounthons	5.29647970199585
coordalise	coordalises	5.587684631347656
unrail	unrails	3.7926628589630127
bluddel	bluddels	4.128849029541016
pitify	pitifies	4.241847038269043
reveld	revelds	3.8187716007232666
recounterpander	recounterpanders	8.422480583190918
unbolder	unbolders	4.663259506225586
mistroupone	mistroupones	6.0320658683776855
cisturalise	cisturalises	6.46309232711792
dorgate	dorgates	4.0748114585876465
revandify	revandifies	5.313976764678955
mistercomper	mistercompers	6.711031436920166
enhansheek	enhansheeks	6.251893043518066
perply	perplies	3.7193431854248047
unducker	unduckers	4.755186080932617
commistinize	commistinizes	6.015191078186035
rechuse	rechuses	4.5055766105651855
muminify	muminifies	4.810168266296387
misescork	misescorks	4.8737006187438965
slitinop	slitinops	4.40015172958374
remisten	remistens	4.69409704208374
misrank	misranks	3.8328378200531006
surchour	surchours	4.374650955200195
foresead	foreseads	4.540531158447266
rebese	rebeses	3.9425747394561768
deconditut	decondituts	5.449740886688232
coremerise	coremerises	6.138741970062256
reasser	reassers	4.533620357513428
stisionise	stisionises	4.865634918212891
faborise	faborises	4.464136600494385
cheristet	cheristets	4.932502269744873
subiclate	subiclates	4.918940544128418
refigenize	refigenizes	5.424312591552734
corpure	corpures	4.176558017730713
courseshend	courseshends	6.222463130950928
belathe	belathes	3.600943088531494
understrund	understrunds	6.106004238128662
depromer	depromers	4.396795272827148
predecrify	predecrifies	6.309004306793213
scomminise	scomminises	5.305587291717529
soccold-ramp	soccold-ramps	6.360897541046143
pittranise	pittranises	5.821410655975342
stivylurise	stivylurises	5.84681510925293
cortomise	cortomises	5.366910457611084
remencate	remencates	5.321643829345703
counderdrout	counderdrouts	6.456990718841553
desonchescate	desonchescates	7.389340400695801
exprostitate	exprostitates	5.846696853637695
forthoreed	forthoreeds	5.371128559112549
retritize	retritizes	4.605340957641602
somash	somashes	4.115838050842285
respinch	respinches	4.862390995025635
defacker	defackers	4.477227687835693
entreid	entreids	4.141831874847412
detath	detaths	3.5905275344848633
stensitate	stensitates	5.31337308883667
fereresete	fereresetes	5.388598918914795
comash	comashes	3.8098254203796387
furtitate	furtitates	5.433712959289551
miselagonise	miselagonises	6.323307037353516
conglife	conglifes	4.468779563903809
preticit	preticits	4.573230743408203
subiast	subiasts	4.153956890106201
unconfute	unconfutes	6.165763854980469
micovoll	micovolls	4.239030361175537
cortact	cortacts	3.8984780311584473
redicalise	redicalises	5.681210041046143
exediate	exediates	5.042913436889648
eplender	eplenders	4.852752208709717
crounder	crounders	4.962142467498779
brontle	brontles	4.452149391174316
deannedect	deannedects	5.57129430770874
cellemorate	cellemorates	5.83042573928833
pudrossinate	pudrossinates	6.267448425292969
mechoinamize	mechoinamizes	6.583373546600342
reforsione	reforsiones	5.803979873657227
bycard	bycards	3.3894400596618652
forestrait	forestraits	5.066812038421631
molliate	molliates	4.447902679443359
birnobuck	birnobucks	5.467837810516357
fonallate	fonallates	5.2406768798828125
cincyer	cincyers	4.189234733581543
shotcherize	shotcherizes	5.821120738983154
combrad	combrads	4.418026924133301
prophoinise	prophoinises	6.2364630699157715
decatch	decatches	4.791562557220459
perprofecuer	perprofecuers	6.051220893859863
unflowrify	unflowrifies	5.31344747543335
mispirrate	mispirrates	5.206427574157715
pocilalise	pocilalises	5.713661193847656
fistrush	fistrushes	4.945227146148682
sumort	sumorts	3.752765417098999
sheasphon	sheasphons	4.952922344207764
presit	presits	3.28180193901062
courtiate	courtiates	5.20510196685791
finchude	finchudes	4.9017438888549805
unconflace	cnconflaces	8.625875473022461
umbrower	umbrowers	4.426214218139648
patheshize	patheshizes	5.59316349029541
chalvel	chalvels	4.3147687911987305
discolader	discoladers	5.689830780029297
formeed	formeeds	4.260244369506836
poospaly	poospalies	5.021536350250244
encublate	encublates	6.54780912399292
refriss	refrisses	4.386255264282227
conpench	conpenches	5.08387565612793
panichate	panichates	5.377723693847656
sincross	sincrosses	5.213225841522217
politograte	politogrates	5.956589221954346
undercraint	undercraints	6.17094087600708
unhark	unharks	3.7318270206451416
deanchate	deanchates	4.98029088973999
prisexconvone	prisexconvones	6.716029644012451
despignize	despignizes	5.561847686767578
unsute	unsutes	3.8334672451019287
reclyster	reclysters	4.68505859375
rechitch	rechitches	5.190488338470459
mumboul	mumbouls	4.112058639526367
demyluscate	demyluscates	5.549076557159424
ensiscide	ensiscides	5.09507942199707
dissenge	dissenges	4.528529167175293
mitraminate	mitraminates	6.2232561111450195
becompulate	becompulates	5.277995586395264
encess	encesses	3.7327382564544678
fatherize	fatherizes	5.055339813232422
unhour	unhours	3.7575595378875732
provetilate	provetilates	5.930761814117432
caludiate	caludiates	5.1308088302612305
feckshock	feckshocks	4.843176364898682
dispricilate	dispricilates	6.7360334396362305
disfrondinate	disfrondinates	7.058140754699707
repondle	repondles	4.545410633087158
unstungle	unstungles	5.36741828918457
culfrit	culfrits	4.651438236236572
deanterize	deanterizes	5.012855052947998
exterter	exterters	4.469427585601807
scoloog	scoloogs	3.6522910594940186
sarruter	sarruters	4.861283302307129
forewons	forewonses	4.7211503982543945
undwulleat	undwulleats	5.341053009033203
mesurise	mesurises	4.313655376434326
chither	chithers	4.0168328285217285
somphard	somphards	4.116275787353516
misreem	misreems	4.546132564544678
underpease	underpeases	5.934163570404053
repulend	repulends	4.523321151733398
beclowe	beclowes	4.131202220916748
decounstelper	decounstelpers	6.833780288696289
reconvect	reconvects	4.7057952880859375
upchumb	upchumbs	4.1957502365112305
bedrass	bedrasses	4.310863494873047
fitiontuate	fitiontuates	5.9720869064331055
remedrate	remedrates	5.008235454559326
decirtoone	decirtoones	5.435194969177246
ribalise	ribalises	4.543427467346191
convoor	convoors	4.131195545196533
underperve	underperves	5.584745407104492
prefectionalise	prefectionalises	8.206418991088867
roumenne	roumennes	4.8161187171936035
couther	couthers	4.241643905639648
unhust	unhusts	3.6079821586608887
updelate	updelates	4.75795316696167
pineer-brack	pineer-bracks	6.268782615661621
cardleat	cardleats	4.819338321685791
sumertion	sumertions	5.281595230102539
subsheit	subsheits	4.589597702026367
proparage	proparages	4.901904106140137
crand-pilk	crand-pilks	5.297760963439941
pembrish	pembrishes	5.070747375488281
munate	munates	3.8624143600463867
ducrumate	ducrumates	5.54297399520874
unroud	unrouds	3.491325616836548
dericast	dericasts	4.979098796844482
unsimpure	unsimpures	5.23865270614624
poluctodate	poluctodates	5.934512138366699
bebulk	bebulks	3.2386415004730225
misfame	misfames	4.199818134307861
unploot	unploots	3.865398645401001
misplow	misplows	3.865400552749634
fanderie	fanderies	4.521240711212158
mispolify	mispolifies	4.833696365356445
demourter	demourters	4.962516784667969
demorin	demorins	4.230465412139893
donsult	donsults	4.4001145362854
mansartate	mansartates	5.977387428283691
detuer	detuers	4.076888084411621
misexcheerate	misexcheerates	6.8077826499938965
uncell	uncells	3.4610817432403564
uncarendulard	uncarendulards	7.19108247756958
unbell	unbells	3.8305206298828125
commuteriate	commuteriates	6.050443649291992
emaraine	emaraines	4.526089668273926
underprotully	underprotullies	7.278546333312988
unshanicise	unshanicises	6.111111640930176
reactrourize	reactrourizes	6.725978374481201
silenther	silenthers	4.553527355194092
porgish	porgishes	4.623486518859863
pentshated	pentshateds	5.451038360595703
decommack	decommacks	4.506727695465088
scease	sceases	3.632547378540039
discorbardhe	discorbardhes	6.317910671234131
serchel	serchels	4.17611837387085
disforshand	disforshands	6.2954936027526855
untelarder	untelarders	5.591563701629639
refaber	refabers	4.480645656585693
combumalise	combumalises	5.353458881378174
millenize	millenizes	4.760098457336426
forcomplien	forcompliens	6.1281657218933105
fortsive	fortsives	4.348702430725098
posper	pospers	3.5923521518707275
deslig	desligs	3.614626169204712
misserpatize	misserpatizes	6.6751275062561035
stimilate	stimilates	5.086010932922363
susher	sushers	3.687757968902588
exhick	exhicks	3.5922770500183105
defonicate	defonicates	5.329214096069336
coltace	coltaces	4.156473159790039
pickstark	pickstarks	5.11630392074585
sitify	sitifies	4.122988224029541
depageess	depageesses	5.530301094055176
beanger	beangers	4.141067028045654
cynentionerize	cynentionerizes	7.769660472869873
mispordish	mispordishes	6.100540637969971
cootrypidize	cootrypidizes	6.033626556396484
unbrunter	unbrunters	4.780075550079346
disindate	disindates	5.562839984893799
spamponize	spamponizes	5.46162223815918
solenter	solenters	4.971129894256592
francarl	francarls	4.708108425140381
preclight	preclights	5.173501968383789
belimple	belimples	4.445661544799805
dantet	dantets	4.006115913391113
undroach	undroaches	5.269041061401367
bechust	bechusts	4.328313827514648
recominize	recominizes	5.895612716674805
croose-bisk	croose-bisks	5.680177211761475
conneck	connecks	4.1460347175598145
pilarise	pilarises	4.573057174682617
præperate	præperates	4.8780293464660645
deconvarcate	deconvarcates	6.957490921020508
unboast	unboasts	4.08200216293335
prepillish	prepillishes	6.000981330871582
erpord	erpords	3.924961566925049
coatthre-fack	coatthre-facks	6.651533603668213
underfoast	underfoasts	5.721563816070557
sanclite	sanclites	4.7168145179748535
emportescine	emportescines	6.30932092666626
enstied	enstieds	4.477757453918457
mistach	mistaches	4.417025089263916
recrits	recritses	4.983795166015625
depressify	depressifies	6.274962425231934
reablick	reablicks	4.513935565948486
poweranise	poweranises	5.6153693199157715
firtrimate	firtrimates	5.772526741027832
calanize	calanizes	4.885066509246826
redistrop	redistrops	5.074319362640381
unbankstate	unbankstates	6.159703254699707
bouttsticker	bouttstickers	6.016232013702393
monkestize	monkestizes	5.625152111053467
digalyse	digalyses	4.541620254516602
enduscile	endusciles	4.750771999359131
unduter	unduters	4.13103723526001
reterembrow	reterembrows	6.147936820983887
simencolast	simencolasts	5.497337818145752
creaperdensilify	creaperdensilifies	8.061739921569824
undercricte	undercrictes	5.903208255767822
mecrinate	mecrinates	4.832630157470703
rebusk	rebusks	3.6653904914855957
ephhecodize	ephhecodizes	6.167375564575195
defrouter	defrouters	4.832523822784424
unlame	unlames	3.897719383239746
memonise	memonises	4.441623210906982
expartialise	expartialises	6.474244117736816
fartulate	fartulates	4.821332931518555
cubfurk	cubfurks	3.8793435096740723
deperscrise	deperscrises	6.2465081214904785
madg	madges	3.0511510372161865
concullectualize	concullectualizes	8.36038589477539
redeporcitulate	redeporcitulates	8.119524002075195
defit	defits	3.573690176010132
sprive	sprives	3.6990230083465576
sonerate	sonerates	4.338259220123291
beprisce	beprisces	4.703056812286377
retreal	retreals	4.565700531005859
pherote	pherotes	3.8981149196624756
mort-critude	mort-critudes	6.390773773193359
centershal	centershals	5.9069085121154785
depooe	depooes	3.469672918319702
culclate	culclates	5.018795013427734
enbollopize	enbollopizes	5.4776458740234375
secruch	secruches	4.66580867767334
sponeswead	sponesweads	5.374273300170898
flainer	flainers	4.127537727355957
scirm	scirms	3.3070907592773438
uddalish	uddalishes	4.8701019287109375
mackollize	mackollizes	4.9742913246154785
redeaver	redeavers	5.148915767669678
miscammine	miscammines	5.401973724365234
strint	strints	3.6671817302703857
borsete	borsetes	4.330738544464111
precling	preclings	4.788771629333496
mousize	mousizes	4.129830360412598
unbutthome	unbutthomes	5.710257530212402
shitsle	shitsles	4.5059404373168945
upstaldle	upstaldles	4.5034708976745605
unshrut	unshruts	3.989121675491333
bransclick	bransclicks	5.5496907234191895
decarcricate	decarcricates	6.164818286895752
enscryile	enscryiles	4.916625022888184
droass	droasses	4.092808246612549
pordomize	pordomizes	5.185176849365234
merbeaglon	merbeaglons	5.32844877243042
bisheck	bishecks	4.621822834014893
forefrict	forefricts	4.743445873260498
cantimate	cantimates	4.640195846557617
deslantaill	deslantaills	5.372704029083252
shelenish	shelenishes	5.718929767608643
misemadower	misemadowers	6.170660495758057
crooter	crooters	4.268830299377441
discommer	discommers	5.01612663269043
freweape	freweapes	4.696043491363525
unreignize	unreignizes	5.276566505432129
disextene	disextenes	4.694610595703125
discapenshork	discapenshorks	7.308268070220947
deauristize	deauristizes	6.265876770019531
bairise	bairises	3.9423129558563232
unterfluate	unterfluates	6.020247459411621
remispinate	remispinates	5.839687824249268
besuld	besulds	3.7652571201324463
disangureate	disangureates	6.985936164855957
reteep	reteeps	3.751800060272217
sotreanize	sotreanizes	5.417703151702881
extitulate	extitulates	5.146370887756348
replacate	replacates	5.073523998260498
refalide	refalides	4.461228370666504
depracicate	depracicates	5.768435955047607
rubure	rubures	3.8207390308380127
permook	permooks	4.381298542022705
profyscrash	profyscrashes	6.795543670654297
preflibe	preflibes	4.8151702880859375
bepadge	bepadges	3.740701913833618
rephalate	rephalates	4.668363571166992
unpunnestate	unpunnestates	6.283538818359375
flat-scripent	flat-scripents	7.159355640411377
enboll	enbolls	3.6741273403167725
reaccutape	reaccutapes	5.291974067687988
chisiminize	chisiminizes	5.549053192138672
flantle	flantles	4.0050835609436035
callulate	callulates	4.58284854888916
estragate	estragates	5.016728401184082
dissald	dissalds	4.008301734924316
rebestelise	rebestelises	6.271946907043457
reflowe	reflowes	3.8752293586730957
deporsate	deporsates	4.421159267425537
forepork	foreporks	4.491393566131592
bumphy-tartinate	bumphy-tartinates	8.14039421081543
expraphern	exprapherns	5.480694770812988
unchanter	unchanters	5.311753273010254
disfrast	disfrasts	4.4892578125
ensubitate	ensubitates	5.599225997924805
mansignize	mansignizes	5.614508628845215
uncolufy	uncolufies	4.5769524574279785
sorchour	sorchours	4.366326808929443
disinstersion	disinstersions	6.665299892425537
discorch	discorches	5.371335983276367
meractitate	meractitates	6.409958362579346
deantierize	deantierizes	6.224474906921387
frower	frowers	3.563405990600586
præasticate	præasticates	5.630650520324707
subdutify	subdutifies	5.187662124633789
derank	deranks	3.6441259384155273
properate	properates	4.7215189933776855
decorsel	decorsels	4.792670249938965
sphool	sphools	3.410139322280884
ribigate	ribigates	4.897474765777588
subtroad	subtroads	3.9636645317077637
unclew	unclews	3.50955867767334
distruse	distruses	4.733291149139404
bereap	bereaps	3.520655870437622
unstreak	unstreaks	4.6808271408081055
precopile	precopiles	5.071963310241699
defimaise	defimaises	5.098934650421143
befudder	befudders	4.161803722381592
strame	strames	3.9227898120880127
derigh	derighs	3.9347734451293945
contrumitize	contrumitizes	6.246546268463135
converpill	converpills	5.834709167480469
remormuse	remormuses	4.986721515655518
recomension	recomensions	5.964908599853516
umposing	umposings	4.533261775970459
suffare	suffares	4.2852654457092285
commosch	commosches	4.334847927093506
uncark	uncarks	3.7075374126434326
reblain	reblains	4.370506286621094
upbont	upbonts	3.6001226902008057
revatticize	revatticizes	5.883103847503662
decontel	decontels	4.715744495391846
extransholder	extransholders	6.675567626953125
carepates	carepateses	6.236191749572754
menalise	menalises	4.381809711456299
unsork	unsorks	3.4293248653411865
restaise	restaises	4.430668830871582
suphresh	suphreshes	5.123204231262207
unstrail	unstrails	4.7368669509887695
dispoll	dispolls	4.223445415496826
priscorate	priscorates	5.801229000091553
precomparize	precomparizes	6.148615837097168
forepub	forepubs	4.451197624206543
dissorcumenculate	dissorcumenculates	9.268593788146973
recompineate	recompineates	5.871767997741699
pellenage	pellenages	4.934154510498047
beflood	befloods	4.102744102478027
morstrapl	morstrapls	4.921406269073486
beclust	beclusts	4.209940433502197
beleboo	beleboos	3.6299901008605957
recomporcalize	recomporcalizes	7.535416603088379
reassor	reassors	4.088964462280273
retunged	retungeds	3.970184803009033
respum	respums	3.8533785343170166
mishiggle	mishiggles	5.66539192199707
claphet	claphets	4.411685943603516
miscrain	miscrains	4.719496726989746
castrive	castrives	4.745970726013184
coaphecrongiate	coaphecrongiates	7.413099765777588
diadinicate	diadinicates	6.015257358551025
unsheer	unsheers	4.356197357177734
unpotiongize	unpotiongizes	5.516232490539551
refitify	refitifies	4.795337200164795
respood	respoods	4.09282922744751
extiscify	extiscifies	5.601772785186768
unlamel-atorise	unlamel-atorises	7.926985263824463
bircubrignester	bircubrignesters	7.978916645050049
mishrost	mishrosts	5.032275676727295
scrinstrag	scrinstrags	8.088791847229004
cicklen	cicklens	4.158406734466553
prisast	prisasts	4.374492168426514
rebalt	rebalts	3.5993521213531494
meclank	meclanks	4.088504791259766
unbonglaize	unbonglaizes	5.747274398803711
forpow-drawe	forpow-drawes	5.710338115692139
commotarize	commotarizes	5.86400032043457
catientize	catientizes	5.628261089324951
mispall	mispalls	4.252130508422852
manglamize	manglamizes	5.649762153625488
retryint	retryints	5.189720630645752
undudee	undudees	4.290536403656006
experate	experates	4.679618835449219
bolater	bolaters	4.2086615562438965
sclibindor	sclibindors	5.654025554656982
rotize	rotizes	3.773721933364868
recrass-tour	recrass-tours	6.427399158477783
subexhert	subexherts	5.060436725616455
underfuss	underfusses	5.515745162963867
uphonify	uphonifies	4.888501167297363
descarm	descarms	4.103024482727051
pysimage	pysimages	4.670456409454346
underbiss	underbisses	5.047111988067627
donded	dondeds	3.7262659072875977
debribate	debribates	5.080660343170166
raddour	raddours	4.018681049346924
beloar	beloars	3.518071413040161
forhol	forhols	3.665719985961914
misarmender	misarmenders	5.731695652008057
fortign	fortigns	3.9403858184814453
reted	reteds	3.6706345081329346
befarben	befarbens	4.262289047241211
defaricatise	defaricatises	6.393197536468506
prepold	prepolds	4.0754852294921875
commolify	commolifies	5.09795618057251
mistrip	mistrips	3.8821206092834473
recome	recomes	3.493143081665039
dealypanch	dealypanches	5.75327205657959
redify	redifies	4.0531535148620605
dockorise	dockorises	4.981684684753418
refrecate	refrecates	4.92515230178833
befrisp	befrisps	4.4296956062316895
congom	congoms	3.2978951930999756
belatify	belatifies	5.628036975860596
resolilize	resolilizes	5.418330669403076
forebolle	forebolles	4.5236029624938965
unshither	unshithers	5.681826591491699
protoppilialize	protoppilializes	7.666208267211914
beteeder	beteeders	4.410341739654541
perrice	perrices	4.282999515533447
represensolize	represensolizes	7.637537479400635
commilt	commilts	4.090327739715576
phasturise	phasturises	5.76278018951416
pottle-crump	pottle-crumps	6.785524368286133
underdract	cnderdracts	9.317835807800293
deprecraster	deprecrasters	6.285449504852295
unbitt	unbitts	3.7917966842651367
disarrease	disarreases	5.568360805511475
umputten	umputtens	4.604422092437744
malitate	malitates	4.645768642425537
discuminate	discuminates	6.251114368438721
sendricalize	sendricalizes	6.419339179992676
pholy	pholies	3.3455193042755127
brumbit	brumbits	4.090153694152832
ensheak	ensheaks	3.9995789527893066
restirken	restirkens	5.232527732849121
bepede	bepedes	3.801788330078125
deretont	deretonts	4.8299150466918945
mone-tult	mone-tults	6.298495292663574
sconter	sconters	4.07171630859375
bowdag	bowdags	3.369616746902466
unbeale	unbeales	3.9222912788391113
pitrister	pitristers	4.985177516937256
reverdar	reverdars	4.624007225036621
enderize	enderizes	4.58079195022583
exproper	expropers	4.798766613006592
catrestize	catrestizes	5.893906593322754
ritionize	ritionizes	5.210320472717285
unbearl	unbearls	4.107939720153809
melogate	melogates	4.508575439453125
untroune	untrounes	4.983279228210449
flowify	flowifies	4.2305498123168945
secterneate	secterneates	6.616047382354736
shurdlal	shurdlals	4.7018890380859375
dereap	dereaps	3.852006435394287
shacklify	shacklifies	5.408257484436035
chopprester	choppresters	5.6622748374938965
pisthard	pisthards	4.89702844619751
exhimine	exhimines	4.864223957061768
prachoculate	prachoculates	6.011416912078857
backstoul	backstouls	4.626038074493408
beprowens	beprowenses	5.833974838256836
extelify	extelifies	4.819367408752441
preprespouct	preprespoucts	6.4746503829956055
fereecurtinate	fereecurtinates	7.123857498168945
rechanthise	rechanthises	6.020705223083496
compresate	compresates	5.543710708618164
duminate	duminates	4.001640796661377
shalinate	shalinates	5.225045204162598
mouthen	mouthens	3.8018970489501953
songitionate	songitionates	6.819271087646484
floush	floushes	4.07625150680542
mestreath	mestreaths	5.249040126800537
merify	merifies	4.387573719024658
conploin	conploins	4.189140796661377
underparch	cnderparches	9.469103813171387
cannicalise	cannicalises	6.067264556884766
phooge	phooges	3.881836175918579
missumbecud	missumbecuds	6.074185371398926
reprosetize	reprosetizes	6.438066482543945
enderseeve	enderseeves	5.956315040588379
preplist	preplists	4.514632225036621
disholl	disholls	4.033132076263428
sucastest	sucastests	4.96256160736084
bittlif	bittlifs	4.047976493835449
destrumol	destrumols	4.84447717666626
macess	macesses	3.963609218597412
bedom	bedoms	3.5745060443878174
underslink	onderslinks	8.744006156921387
shurne	shurnes	3.4977834224700928
rooflie	rooflies	4.033074855804443
dissicalize	dissicalizes	6.07943058013916
concant	concants	4.109613418579102
misphalane	misphalanes	5.448412895202637
berock	berocks	3.8964738845825195
manthronomize	manthronomizes	6.986965656280518
refraged	refrageds	4.244441986083984
damitarise	damitarises	5.496833324432373
unblanding	unblandings	7.388788223266602
potiate	potiates	3.820420265197754
exacclate	exacclates	5.131222724914551
scordenise	scordenises	5.415236949920654
silleched	sillecheds	5.22929048538208
bleap	bleaps	3.7507028579711914
respelder	respelders	4.909088134765625
disinterfure	disinterfures	6.536400318145752
cimpar	cimpars	3.910992383956909
underpathilycate	underpathilycates	7.975337505340576
sammick	sammicks	3.777951240539551
reforeshinise	reforeshinises	7.230043411254883
froof	froofs	3.1135644912719727
clongionize	clongionizes	5.935215950012207
revenarize	revenarizes	5.8059210777282715
unsonstatisionate	unsonstatisionates	8.619227409362793
deploge	deploges	3.7154600620269775
meclaminise	meclaminises	5.750132083892822
reclook	reclooks	4.315518856048584
chauble	chaubles	3.943638801574707
umbraise	umbraises	4.238694667816162
misholy	misholies	4.472294807434082
misprearise	misprearises	6.259270668029785
exidise	exidises	4.041622638702393
unrepre-chast	unrepre-chasts	7.162879943847656
disram	disrams	3.9215822219848633
meclurbulate	meclurbulates	6.8479461669921875
subtranalise	subtranalises	6.197845458984375
deasussalize	deasussalizes	6.124688625335693
rediculate	rediculates	5.200557708740234
uncompressy	uncompressies	6.508691310882568
surfark	surfarks	4.067824840545654
forebrack	forebracks	4.98602294921875
purtend	purtends	3.986295461654663
rapparkle	rapparkles	4.738410472869873
forecaps	forecapses	5.135288238525391
rescord	rescords	4.209258079528809
proponish	proponishes	5.352688789367676
bephunginate	bephunginates	6.214326858520508
permatorize	permatorizes	6.14415979385376
