əkəbə~dhə	əkbəndʰə
əvəsərə	əvsər
əvəsanə	əvsan
əvəɭai	əvɭai
əvəɭu~	əvɭu~
əvaɟə	əvaɟ
əvaɭu~	əvaɭu~
əvinəjə	əvinəj
əʃəktə	əʃəktə
əʃa~tə	əʃa~ntə
əʃudhdhə	əʃudʰdʰə
əʃubhə	əʃubʰ
əs°°aɖə	əʃaɖ
əsətjə	əsətjə
əsərə	əsər
əsələ	əsəl
əsəhəkarə	əsəhkar
əsəhajə	əsəhaj
əsəhjə	əsəhjə
əsə~khjə	əsəɳkʰjə
əsə~tos°ə	əsəntoʃ
əsə~bhəvə	əsəmbʰəv
əsə~mətə	əsəmmət
əsə~skarii	əsamskari
əsadhjə	əsadʰjə
əsuurə	əsur
əsthirə	əstʰirə
əspəs°ʈə	əspəʃʈə
əsvəcchə	əsvəccʰə
əsvəsthə	əsvəstʰə
əsviikarə	əsvikar
əhi~səkə	əhimsək
əhi~sa	əhimsa
əhi~	əhi~
əhi~ja~	əhi~ja~
əhoho	əhoho
əɭəkhaməɳu~	əɭkʰamɳu~
əɭəgu~	əɭgu~
ə~kurə	ə˜kurə
ə~gə	ə˜gə
ə~guuʈhii	ə˜guʈʰi
ə~guʈho	ə˜guʈʰo
ə~greɟə	ej 
ə~greɟə	ə˜gəreɟ
ə~greɟii	e@ 
ə~greɟii	ə˜gəreɟi
ə~tə	əntə
	əntər
ə~timə	əntim
ə~te	ənte
ə~dərə	əndər
ə~daɟə	əndaɟ
ə~dhapo	əndʰapo
ə~dhariiju~	əndʰariju~
ə~dhariju~	əndʰaru~
ə~boɖo	əmboɖo
ə~ʃə	əmʃ
a	a
akarə	akar
akaʃə	akaʃ
aka~kʃa	aka~kʃa
akru≤ti	akruti
akrəməɳə	m8 
akrəməɳə	akrəməɳ
akʃepə	akʃep
akhəre	akʰəre
akhəlo	akʰlo
agə	ag
agəboʈə	agboʈ
agəmə	agəm
agəlu~	aglu~
agəɭə	agəɭ
agamii	agami
agaahii	agahi
agijo	agijo
agrəhə	agrəhə
aghatə	agʰat
aghu~	agʰu~
acarə	acər
acarjə	acarjə
achu~	acʰu~
aɟə	aɟ
aɟiiɟii	aɟiɟi
aɟiivənə	aɟivən
aɟubaɟu	aɟu baɟu
aʈəlu~	aʈlu~
aʈo	aʈo
aʈhə	aʈʰ
aʈhəmə	aʈʰəm
aɖəɳii	aɖɳi
aɖətriisə	aɖətris
aɖu~	aɖu~
aɳəvu~	aɳvu~
aɳu~	aɳu~
atma	atma
athəməɳu~	atʰəmɳu~
athəməvu~	atʰəmvu~
adərə	adər
adərʃə	adərʃə
adaʃiiʃii	adaʃiʃi
adi	adi
adivasii	adivasi
adu~	adu~
adeʃə	adeʃ
adharə	adʰar
adhunikə	adʰunik
adheɖə	adʰeɖ
adhjatmikə	adʰjatmik
anə~də	anəndə
anakani	anakani
apəɳe	apɳe
apəɳe	apətti
apəmeɭe	apmeɭe
apəle	aple
apəviitii	apviti
apəvu~	apvu~
apoapə	apoap
aphəro	apʰro
aphuusə	apʰu:s
abəruu	abru
abehubə	abehub
abohəva	abohəva
abhə	abʰ
abharə	abʰar
abhasə	abʰas
abhus°əɳə	abʰuʃəɳ
amə	am
aməɟənəta	amɟənta
aməɳe	amɳe
amətemə	amtem
aməthii	amtʰi
amədanii	amdani
amənja	amnja
amərəɳə	amərəɳ
aməlii	amli
aməɭəvu~	aməɭvu~
aməntrəɳə	aməntrəɳ
ajəno	ajno
aja	aja
ajatə	ajoɟən
arətii	arti
arəparə	arpar
arə~bhə	arəmbʰə
aramə	aram
arogjə	arogjə
aropə	arop
aləvu~	alvu~
avəkə	avək
avəkarə	avkar
avəɖətə	avɖət
avəɖəvu~	avəɖvu~
avəɖu~	avɖu~
avərəda	avərda
avəvu~	avvu~
avu~	avu~
avegə	aveg
aveʃə	aveʃ
aʃəjə	aʃəj
aʃəre	aʃre
aʃəro	aʃro
aʃa	aʃa
aʃaɖhə	aʃaɖʰ
	aʃiʃ
aʃirvadə	aʃirvad
aʃcərjə	aʃcərjə
aʃrəmə	aʃrəm
aʃvaʃənə	aʃvasən
	asən
asəpasə	aspas
asəmanə	asman
astikə	astikə
aso	aso
astha	astʰa
asvadə	asvadə
ahaha	ahaha
aharə	ahar
ahiirə	ahir
ahuuti	ahuti
aɭəsə	aɭəs
aɭoʈəvu~	aɭoʈvu~
a~kə	a~k
a~kəɖo	a~kɖo
a~kəvu~	a~kvu~
a~khə	a~kʰ
a~gəɳu~	a~gɳu~
a~gəɭijatə	a~gəɭijat
a~cəkəvu~	a~cəkvu~
a~cəkii	a~cki
a~cəko	a~cko
a~ɟəvu~	a~ɟvu~
a~tərəɖu~	a~tərɖu~
a~tərəvu~	a~tərvu~
a~təriikə	a~trik
a~dolənə	a~ndolən
a~dhəɳə	a~dʰəɳ
a~bo	a~bo
a~su~	a~su~
icchəvu~	iccʰəvu~
iccha	iccʰa
iɟənerə	iɟner
iɟaro	iɟaro
iɟɟətə	iɟɟət
iʈhʈhoterə	iʈʰʈʰoter
iʈhjasii	iʈʰjasi
itərə	itər
itihasə	itihas
inamə	inam
imamə	i:mam
imarətə	i:marət
ijəɭə	i:jəɭ
ilaɟə	i:laɟ
ilajəcii	i:lajəci
iʃkə	i:ʃkə
ispitalə	i:spital
islamə	islam
indriijə	indrijə
iiɟa	iŠɟa
iiɖəlii	iŠɖli
iidə	iŠd
iidəɖu~	iŠdɖu~
iiʃanə	iŠʃan
	iŠʃvər
i	iŠsaiŠ
i	iŠʈ
ii~ɖu~	i~Šɳdu~
ukərəɖo	ukərɖo
ukəɭəvu~	ukəɭvu~
ukəɭaʈə	ukɭaʈ
ukaɭəvu~	ukaɭvu~
ukelə	ukel
ukeləvu~	ukelvu~
ukhaɳu~	ukʰaɳu~
ugaməvu~	ugamvu~
ugəraɳii	ugʰraɳi
ughəravəvu~	ugʰravvu~
ucaʈə	ucaʈ
ucapətə	ucapət
uccarə	uccar
uccarəvu~	uccarvu~
ucchəvasə	uccʰəvas
uchəɭəvu~	ucʰəɭvu~
uchaɭəvu~	ucʰaɭvu~
ucherəvu~	ucʰervu~
uɟagəro	uɟagro
uɟaɳii	uɟaɳi
uɟɟəɖə	uɟɟəɖ
uʈhəməɳu~	uʈʰəmɳu~
uʈhəvu~	uʈʰvu~
uʈhaɖəvu~	uʈʰaɖvu~
uʈha~tərii	uʈʰa~ntəri
uɖau	uɖau
uɖavəvu~	uɖavvu~
utarəvu~	utarvu~
utaru~	utaru~
utaro	utaro
utavəɭə	utavəɭ
uttəmə	uttəm
	uttər
utteɟəkə	utpətti
utpadəkə	utpadək
utpadənə	utpadən
utsəvə	utsəv
utsahə	utsah
uthəlavəvu~	utʰlavvu~
udarə	udar
udasə	udas
udahərəɳə	udahərəɳ
udghaʈənə	udgʰaʈən
uddeʃə	uddeʃə
udhdharə	udʰdʰarə
udbhəvə	udbʰəvə
udjogə	udjogə
udhərəsə	udʰrəs
udarə	udʰar
unaɭu~	unaɭu~
unaɭo	unaɭo
upəkarə	upkar
upəcarə	upcar
upəɟəvu~	upəɟvu~
upəɟavəvu~	upɟavvu~
upədeʃə	updeʃ
upənəgərə	upnəgər
upənamə	upnam
upəjogə	upjog
upərə	upər
upəra~tə	upra~t
upərii	upri
upəvasə	upvas
upəsə~harə	upsamhar
upaɖə	upaɖ
upaɖəvu~	upaɖvu~
upajə	upaj
uməda	umda
umərə	umər
uməɭəko	uməɭko
umə~gə	umə˜gə
umerəvu~	umervu~
umero	umero
uləʈavəvu~	ulʈavvu~
ulecəvu~	ulecvu~
ullekhəvu~	ullekʰ
uʃkerəvu~	uʃkervu~
u~dərə	undər
u~bəro	umbəro
uukəɭəvu~	ukəvu~
ukaɭəvu~	ukaɭəvu~
uukhəɖəvu~	ukʰəɖvu~
uukʰaɖəvu~	ukʰaɖvu~
uugərəvu~	ugərvu~
uugəvu~	ugvu~
u	ucəkvu~
uuchərəvu~	ucʰərvu~
uuɟəvəvu~	uɟəvvu~
uuɟəɭu~	uɟɭu~
uuɖəvu~	uɖvu~
uuɳəpə	uɳəp
uutərəvu~	utərvu~
uuthələvu~	utʰəlvu~
uuthəlo	utʰlo
uudhəii	udʰəi
uunə	un
uupəɟə	upəɟ
uupəɖəvu~	upəɖvu~
uubhauubhə	ubʰaubʰ
uubhu~	ubʰu~
uuləʈii	ulti
uuləʈu~	ulʈu~
uuləɭəvu~	uləɭvu~
uuhapohə	uhapoh
uu~ghə	u~˜gə
uucəkəvu~	u~cəkvu~
uu~caii	u~cai
uu~cu~	u~cu~
uu~ʈə	u~ʈ
uu~ɖaii	unɖai
uu~ɖu~	u~ɳɖu~
uu~dhiiju~	u~ndʰiju~
uudhu~	u~ndʰu~
ru≤ɟu	ruɟu
ru≤ɳə	ruɳ
ru≤tu	rutu
ru≤s°i	ruʃi
e	e
ekə	ek
ekəʈaɳu~	ekʈaɳu~
ekəɖo	ekɖo
ekəta	ekta
ekətaɭisə	ektaɭis
ekətriisə	ekətris
ekədəmə	ekdəm
ekdharu~	ekdʰaru~
ekəpəkʃii	ekpəkʃi
ekəmə	ekəm
ekəmatrə	ekmatrə
ekəmekə	ekmek
ekəragə	ekrag
ekəruupə	ekrup
ekələ/peʈu~	ekəlpeʈu~
ekələvaju~	ekəlvaju~
ekəvəgu~	ekvəgu~
ekəvcənə	ekvəcən
ekəvisə	ekvis
ekəvisə	eksəʈʰ
ekəsərəkhu~	eksərkʰu~
ekə~dərə	ekndər
ekaekə	ekaek
ekaɳu~	ekaɳu~
ekadəʃii	ekadəʃi
ekaʃii	ekaʃi
eka~kii	eka~ki
eka~tə	eka~ntə
ekiisathe	eki satʰe
ekekə	ekkek
ekotərə	ekotər
ekjaʃi	ekjaʃi
eʈəle	eʈle
ethu~	´ʈʰu~
eɖii	eɖi
eləcii	elci
evəɖu~	evɖu~
evu~	evu~
evama~	evama~
eʃə	´ʃ
əiravətə	əiravət
əiʃvərjə	əiʃvərjə
ogəɳətrisə	ogəɳtris
ogəɳjaeʃii	ogɳja ´~ʃi
ogəɳisə	ogɳis
ogəɭəvu~	øgəɭvu~
ocintu~	øcintu~
occhəvə	occʰəv
ochabolu~	ocʰabolu~
ochu~	ocʰu~
oɟarə	oɟar
oʈə	oʈ
oʈəlo	oʈlo
oʈəvu~	oʈvu~
oɖhəvu~	oɖʰvu~
orəɖo	orɖo
orəvu~	orvu~
orii	ori
oləvəvu~	oləvvu~
	osri
oʃiiku~	oʃiku~
oɭəkhə	oɭəkʰ
oɭəvu~	oɭvu~
oɭə~gəvu~	oɭə˜gəvu~
aucitjə	əucitjə
əudiicjə	əudiŠcjə
əupəcariikə	əupcarik
əus°ədhə	əuʃədʰ
əudjogikə	əudjogik
kəkko	kəkko
kəcəkəcə	kəc kəc
kəcəɖəvu~	kəcəɖvu~
kəcərapeʈii	kəcra peʈi
kəcəro	kəcro
kəcəvaʈə	kəcvaʈ
kəcaʃə	kəcaʃ
kəcu~,bərə	kəcumbər
kəcorii	kəcori
kəɟijakhorə	kəɟijakʰor
kəɟoɖu~	kəɟoɖu~
kəʈəko	kəʈko
kəʈokəʈii	kəʈokəʈi
kəʈoro	kəʈoro
kəʈhəɳə	kəʈʰəɳ
kəʈhiinə	kəʈʰin
kəʈhijaro	kəʈʰijaro
kəʈheɖo	kəʈʰeɖo
kəʈhorə	kəʈʰor
kəʈhoɭə	kəʈʰoɭ
kəɖəko	kəɖko
kəɖəvu~	kəɖvu~
kəɖakuuʈə	kəɖakuʈ
kəɖiijo	kəɖijo
kəɖii	kəɖi
kəɖu~	kəɖu~
kəɖhə~gu~	kəɖʰə˜gu
kəɖhii	kəɖʰi
kəɳə	kəɳ
kəɳəsəvu~	kəɳəsvu~
kəthəɭəvu~	kətʰəɭvu~
kətha	kətʰa
kəthakarə	kətʰakar
kədə	kəd
kədəruupu~	kədrupu~
kədavərə	kədavər
kənəɖəgətə	kənəɖgət
kənja	kənja
kəpəʈə	kəpəʈ
kəpəɖa~lətta~	kəpɖa~lətta~
kəpəɖu~	kəpɖu~
kəpəru~	kəpru~
kəpaɭə	kəpa
kəpasə	kəpas
kəpoɭə	kəpoɭ
kəphə	kəpʰ
kəbəɟiijatə	kəbəɟijat
kəbəɟo	kəbɟo
kəbərə	kəbər
kəbuutərə	kəbutər
kəmənəsiibə	kəmnəsib
kəmərə	kəmər
kəməɭə	kəməɭ
kəməɭo	kəmɭo
kəmaii	kəmai
kəmavu~	ləmavu~
kəmurətə	kəmurət
kəmotə	kəmot
	kəmosəm
kərəkəsərə	kərkəsər
kərəgərəvu~	kərgərvu~
kərəcəlo	kərəclo
kərəɟə	kərəɟ
kərəmavu~	kərmavu~
kərəvu~	kərvu~
kəra	kəra
kərarə	kərar
kərijaɳu~	kərijaɳu~
kərijavərə	kərijavər
kəruɳə	kəruɳ
kəruɳa	kəruɳa
kəruupə	kərup
kəroɖə	kəroɖ
kəroɖərəɟɟu	kəroɖrəɟɟu
kəroɭijo	kəroɭijo
kələ~kə	kələnk
kəla	kəla
kəlakə	kəlak
kəlakarə	kəlakar
kəlpəna	kəlpəna
kəlpəvu~	kəlpəvu~
kəljaɳə	kəljaɳə
kəvəjitri	kəvəjitri
kəvi	kəvi
kəʃu~	kəʃu~
kəʃu~kə	kəʃu~k
kəsərətə	kəsrət
kəsaii	kəsai
kəsoʈii	kəsoʈi
kəheɳə	kəheɳ
kəhevətə	kəhevət
kəhevu~	kəhevu~
kəhjagəru~	kəhjagəru~
kəɭətərə	kəɭtər
kəɭii	kəɭi
kəii~	kəi~
kəii~kə	kəi~k
kə~kavəʈii	kənkavaʈi
kə~ku	kənku
kə~kotərii	kənkotəri
kə~ɟusə	kənɟus
kə~ʈaɭəvu~	kənʈaɭvu~
kə~ʈaɭo	kənʈaɭo
kə~ʈhə	kəɳtʰ
kə~ʈhii	kəɳʈʰi
kə~doro	kəndoro
kə~parii	kəmpari
kə~pəvu~	kəmpvu~
kə~sarə	kəmsar
kakəɖii	kakɖi
kaka	kaka
kakaɟii	kakaɟi
kakii	kaki
kakaɟii	kakiɟi
kagəɖo	kagɖo
kagəɭə	kagəɭ
kagaroɭə	kagaroɭ
kacə	kac
kacəbo	kacbo
kacə~ɖo	kaciɳɖo
kacu~	kacu~
kaɟəɭə	kaɟəɭ
kaɟu	kaɟu
kaʈə	kaʈ
kaɖhəvu~	kaɖʰvu~
kaɳu~	kaɳu~
katərə	katər
katərəvu~	katərvu~
katərii	katri
kadəvə	kadəv
kanə	kan
kanə	kap
kapəɖə	kapəɖ
kapəlii	kapli
kapəvu~	kapvu~
kapo	kapo
kabərə	kabər
kabuu	kabu
kamə	kam
kaməcorə	kamcor
kamədarə	kamdar
kamədevə	kamdev
kamədhə~dho	kadʰndʰo
kajədo	kajdo
kajəmə	kajəm
karəkunə	karkun
karəkhanu~	karkʰanu~
karəɳə	karəɳ
karətəkə	kartək
karətusə	kartus
karəbharə	karbʰar
kalə	kal
kavətəru~	kavətru~
kavjə	kavjə
kaɭəɟii	kaɭɟi
kaɭəɟuu	kaɭɟu~
kaɭu~	laɭu~
kaɭotərii	kaɭotəri
ka~kərii	ka~kri
ka~kəro	ka~kro
ka~ʈaɭu~	ka~ʈaɭu~
ka~ʈo	ka~ʈo
ka~ʈho	ka~ʈʰo
ka~ɖu~	ka~ɳɖu~
ka~do	kaɳdo
ka~dhə	ka~ndʰə
ka~səkii	ka~ski
ka~səko	ka~sko
killo	killo
	kiʃor
kiʃorii	kiʃori
kiiʈəlii	kiʈli
kiiɖii	kiɖi
kiiɖo	kiɖo
kiimətə	kimət
kiirti	kirti
kuʈu~bə	kuʈumbə
	kuʈev
kutuhələ	kutuhəl
kudərətə	kudrət
kuɭədevə	kuɭdev
kustii	kusti
kusevaa	kuseva
kuhaɖii	kuhaɖi
kuhaɖio	kuhaɖo
ku~ɖəɭə	kuɳɖəɭ
ku~bharə	kumbʰar
ku~vaaru~	ku~varu~
kuukəɖo	kukɖo
kuukəɖii	kukɖi
kuutərii	kutri
kuutəru~	kutru~
kuutəro	kutro
kuthəlii	kutʰli
kudəvu~	kudvu~
kudavəvu~	kudavvu~
	kuvo
ku~cii	ku~ci
kuu~pəɭə	kumpəɭ
keʈəlu~	keʈlu~
keɖə	k´ɖ
kedə	k´d
kemə	k´m
kedii	k´di
kerii	k´ri
kevəɖu~	kevɖu~
kevu~	kevu~
kesərə	kesər
	kesri
keɭə	keɭ
keɭəvəɳii	keɭəvɳi
keɭəvəvu~	keɭəvvu~
keɭu~	keɭu~
koi	koi
kogəɭiiju~	køgəɭiju~
kogəɭo	køgɭo
koʈhii	koʈʰi
koɖiiju~	koɖiju~
koɖhə	koɖʰ
koɳii	køɳi
kotərəvu~	kotərvu~
kothəmiirə	kotʰmir
kothəɭii	kotʰɭi
kothəɭo	koʈʰɭo
kodaɭii	kodaɭi
konu~	kønu~
kopəru~	kopru~
komə	kom
koməvadə	komvad
korəvu~	korvu~
koləso	kolso
kolahələ	kolahəl
koʃiʃə	koʃiʃ
kohəvu~	kohvu~
koɭii	koɭi
koɭu~	koɭu~
kəutu~mbikə	kəuʈumbik
kəubha~ɖə	kəubʰa~nɖ
kəu~sə	kəums
kjare	kjare
kəja~	kja~
krurə	krurə
krodhə	krodʰə
khəkhəɖəvu~	kʰəkʰəɖvu~
khəcəkavu~	kʰəckavu~
khəcakhəcə	kʰəcakʰəc
khəccərə	kʰəccər
khəɟanəcii	kʰəɟanci
khəɟano	kʰəɟano
khəɟurə	kʰəɟur
khəɟurii	kʰəɟuri
khəɟuuro	kʰəɟuro
khəʈəkəvu~	kʰəʈəkvu~
khəʈəpəʈə	kʰəʈpəʈ
khəʈəmələ	kʰəʈməl
khəʈəmiiʈhu~	kʰəʈmiʈʰu~
khəʈəragə	kʰəʈrag
khəʈəlo	kʰəʈlo
khəʈəvəvu~	kʰəʈəvvu~
khəʈaro	kʰəʈaro
khəʈu~bəɖu~	kʰəʈumbɖu~
khəɖəkə	kʰəɖək
khəɖəkəlo	kʰəɖəklo
khəɖəkii	kʰəɖki
khəɖətələ	kʰəɖtəl
khəɖəbəcəɖu~	kʰəɖbəcɖu~
khəɖecokə	kʰəɖecok
khəɳəvu~	kʰəɳvu~
khətəro	kʰətro
khətəvəvu~	kʰətəvvu~
khəpəvu~	kʰəpvu~
khəbərə	kʰəbər
khəbho	kʰəbʰo
khəməɳə	kʰəməɳ
khəməvu~	kʰəmvu~
khəmisə	kʰəmis
khərəpəvu~	kʰərəpvu~
khərəvu~	kʰərvu~
khərabə	kʰərab
khəru~	kʰəru~
khərekhərə	kʰərekʰər
khərcə	kʰərcə
khəlasə	kʰəlas
khəlasii	kʰəlasi
khəlelə	kʰəlel
khəvasə	kʰəvas
	kʰəs
khəsəkhəsə	kʰəskʰəs
khəseɖəvu~	kʰəseɖvu~
khəɭəkhəɭə	kʰəɭ kʰəɭ
khə~kherəvu~	kʰənkʰervu~
khə~ɟərii	kʰəµɟəri
khə~ɖə	kʰəɳɖə
khə~ɖijerə	kʰəɳɖijer
khaii	kʰai
khaudhəru~	kʰaudʰəru~
khaɟəlii	kʰaɟli
khaɟu	kʰaɟu
khaʈəkii	kʰaʈki
khaʈəlo	kʰaʈlo
khaʈəvu~	kʰaʈvu~
khaʈu~	kʰaʈu~
khaɖii	kʰaɖi
khaɖo	kʰaɖo
khaɳə	kʰaɳ
khaɳijo	kʰaɳijo
khaɳu~	kʰaɳu~
khatəmurətə	kʰatmurət
khatərə	kʰatər
khatərii	kʰatri
khatavəhii	kʰatavəhi
khatu~	kʰatu~
khanəkii	kʰangi
khanu~	kʰanu~
khabociju~	kʰabociju~
khamii	kʰami
kharu~	kʰaru~
kharekə	kʰarek
khalə	kʰal
khalii	kʰali
khavu~	kʰavu~
khasə	kʰas
khasijətə	kʰasijət
khaɭə	kʰaɭ
kha~co	kʰa~co
kha~ɖə	kʰa~ɖ
kha~ɖəvu~	kʰa~ɳɖvu~
kha~sii	kʰa~si
khisəkolii	kʰiskoli
khiicəɖii	kʰicɖi
khiicokhiicə	kʰicokʰic
khiiɟəvəvu~	kʰiɟəvvu~
khiiɳə	kʰiɳ
khiirə	kʰir
khiilə	kʰil
khiiləvu~	kʰilvu~
khiissu~	kʰissu~
khurəʃii	kʰurʃi
khulaso	kʰulaso
khullu~	kʰullu~
khuʃə	kʰuʃ
khuʃənuma	kʰuʃnuma
khuʃamətə	kʰuʃamət
khuʃii	kʰuʃi
khuɟəlii	kʰuɟli
khuʈəvu~	kʰuʈvu~
khuuɳo	kʰuɳo
khuunə	kʰun
khubə	kʰub
khubii	kʰubi
khuuləvu~	kʰulvu~
khuucəvəvu~	kʰu~cəvvu~
khəcəvu~	kʰu~cvu~
khuu~dhə	kʰu~dʰ
kheɖəvu~	kʰeɖvu~
kheɖuutə	kʰeɖut
khetərə	kʰetər
khetii	kʰeti
kheratə	kʰerat
khelə	kʰel
kheləvu~	kʰelvu~
khelaɖii	kʰelaɖi
khevənaa	kʰevna
khe~caɳə	kʰ´~caɳ
khokhəru~	kʰokʰru~
khokhu~	kʰokʰu~
	kʰoɟa
khoʈə	kʰoʈ
khoʈəkəvu~	kʰoʈkavu~
khoʈu~	kʰoʈu~
	kʰoɖ
khoɖəvu~	kʰoɖvu~
khotərəvu~	kʰotərvu~
khodəvu~	kʰodvu~
khodaɳə	kʰodaɳ
khopərii	kʰopri
khobo	kʰobo
khorəvavu~	kʰorvavu~
khorakə	kʰorak
kholəvu~	kʰolvu~
khovu~	kʰovu~
khosəvu~	kʰosvu~
khoɭiiju~	kʰoɭiju~
khoɭo	kʰoɭo
gəiikalə	gəikal
gəgəɖəvu~	gəgəɖvu~
gəɟəro	gəɟro
gəɟəvu~	gəɟvu~
gəɟhələ	gəzəl
gəʈərə	gətər
gəʈhʈho	gəʈʰʈʰo
gəɖədo	gəɖdo
gəɖəbəɖə	gəɖbəɖ
gəɖəməthələ	gəɖmətʰəl
gəɖii	gəɖi
gəɖhə	gəɖʰ
gəɖhəvii	gəɖʰvi
