अ,ə
अकल्याण,ə - k ə l j ɑː n
अक़वाम,ə q ʋ ɑː m
अकसर,ə k s ə ɾ
अकसरियत,ə k s ə ɾ ɪ j ə t̪
अकसीर,ə k s iː ɾ
अकस्मात्,ə - k ə s m ɑː t̪
अकाज,ə - k ɑː d͡ʒ
अकाजी,ə k ɑː d͡ʒ iː
अकाट्य,ə - k ɑː ʈ j ə
अकादमी,ə k ɑː d̪ m iː
अकाम,ə - k ɑː m
अकामता,ə - k ɑː m ə t̪ ɑː
अकामी,ə - k ɑː m iː
अकार,ə - k ɑː ɾ
अकारण,ə - k ɑː ɾ ə n
अकारत,ə - k ɑː ɾ ə t̪
अकारथ,ə - k ɑː ɾ ə t̪ʰ
अकाल,ə - k ɑː l
अकासनीम,ə k ɑː s n iː m
अकिंचन,ə - k ɪ n t͡ʃ ə n
अक़ीक़,ə q iː q
अक़ीदत,ə q iː d̪ ə t̪
अक़ीदा,ə q iː d̪ ɑː
अकीर्ति,ə - k iː ɾ t̪ ɪ
अकुंठ,ə - k ʊ n ʈʰ
अकुल,ə - k ʊ l
अकुलाना,ə k ʊ l ɑː n ɑː
अकुलाहट,ə k ʊ l ɑː ɦ ə ʈ
अकुली,ə k ʊ l iː
अकुलीन,ə - k ʊ l iː n
अकुशल,ə - k ʊ ʃ ə l
अकृत,ə - k ɾ ɪ t̪
अकृतकार्य,ə - k ɾ ɪ t̪ ə k ɑː ɾ j ə
अकृतज्ञ,ə - k ɾ ɪ t̪ ə g j ə
अकृतज्ञता,ə - k ɾ ɪ t̪ ə g j ə t̪ ɑː
अकृतार्थ,ə - k ɾ ɪ t̪ ɑː ɾ t̪ʰ
अकृती,ə - k ɾ ɪ t̪ iː
अकृत्य,ə - k ɾ ɪ t̪ j ə
अकृत्रिम,ə - k ɾ ɪ t̪ ɾ ɪ m
अकेला,ə k eː l ɑː
अकेलापन,ə k eː l ɑː p ə n
अकोर,ə k oː ɾ
अकोर,ə k oː ɾ
अकोल,ə k oː l
अकौड़ा,ə k ɔː ɽ ɑː
-अक्कड़,- ə k k ə ɽ
अक़्क़ल-बार,ə q q ə l - b ɑː ɾ
अक्खड़,ə k kʰ ə ɽ
अक्खड़पन,ə k kʰ ə ɽ p ə n
अक्खंड़पना,ə k kʰ ə ɽ p ə n ɑː
अक्खाह,ə k kʰ ɑː ɦ
अक्तूबर,ə k t̪ uː b ə ɾ
अक्रूर,ə - k ɾ uː ɾ
अक़्ल,ə q l
अक़्ली,ə q l iː
अक्ष,ə k ʃ
अक्षत,ə - k ʃ ə t̪
अक्षम,ə - k ʃ ə m
अक्षमता,ə - k ʃ ə m ə t̪ ɑː
अक्षय,ə - k ʃ ə j
अक्षयता,ə - k ʃ ə j ə t̪ ɑː
अक्षय्य,ə - k ʃ ə j j ə
अक्षर,ə - k ʃ ə ɾ
अक्षरी,ə k ʃ ə ɾ iː
अक्षरी,ə k ʃ ə ɾ iː
अक्षरौटी,ə k ʃ ə ɾ ɔː ʈ iː
अक्षि,ə k ʃ ɪ
अक्षीय,ə k ʃ iː j ə
अक्षुण्ण,ə - k ʃ ʊ n n
अक्षेम,ə - k ʃ eː m
अक्षोनि,ə k ʃ oː n ɪ
अक्षोहिणी,ə k ʃ oː ɦ ɪ n iː
अक्स,ə k s
अक्सर,ə k s ə ɾ
अखंड,ə - kʰ ə n ɖ
अखंडता,ə - kʰ ə n ɖ ə t̪ ɑː
अखंडनीय,ə - kʰ ə n ɖ ə n iː j ə
अखंडित,ə - kʰ ə n ɖ ɪ t̪
अखंड्य,ə - kʰ ə n ɖ j ə
अखज,ə kʰ ə d͡ʒ
अखड़ाना,ə kʰ ɽ ɑː n ɑː
अखड़ैत,ə kʰ ɽ ɛː t̪
अख़नी,ə x n iː
अख़बार,ə x b ɑː ɾ
अख़बारी,ə x b ɑː ɾ iː
अखय,ə kʰ ə j
अखरना,ə kʰ ə ɾ n ɑː
अखरोट,ə kʰ ɾ oː ʈ
अख़रोट,ə x ɾ oː ʈ
अख़लाक़,ə x l ɑː q
अखाड़ा,ə kʰ ɑː ɽ ɑː
अखड़िया,ə kʰ ɑː ɽ ɪ j ɑː
अखाद्य,ə - kʰ ɑː d̪ j ə
अखिल,ə kʰ ɪ l
अख़ीर,ə x iː ɾ
अख़्तियार,ə x t̪ ɪ j ɑː ɾ
अख्यात,ə - kʰ j ɑː t̪
अख्याति,ə - kʰ j ɑː t̪ ɪ
अग,ə - g
अगड़धत्त,ə g ə ɽ d̪ʱ ə t̪ t̪
अगड़-बगड़,ə g ə ɽ - b ə g ə ɽ
अगड़म-बगड़म,ə g ə ɽ ə m - b ə g ə ɽ ə m
अगणनीय,ə - g ə n ə n iː j ə
अगणित,ə - g ə n ɪ t̪
अगण्य,ə - g ə n j ə
अगत,ə - g ə t̪
अगति,ə - g ə t̪ ɪ
अगतिक,ə - g ə t̪ ɪ k
अगती,ə g t̪ iː
अगत्तर,ə g ə t̪ t̪ ə ɾ
अगन,ə g ə n
अगम,ə - g ə m
अगम,ə g ə m
अगम्य,ə - g ə m j ə
अगर,ə g ə ɾ
अगर,ə g ə ɾ
अगरचे,ə g ə ɾ t͡ʃ eː
अग़ल-बग़ल,ə ɣ ə l - b ə ɣ ə l
अगला,ə g l ɑː
अगवाई,ə g ʋ ɑː iː
अगवाड़ा,ə g ʋ ɑː ɽ ɑː
अगवान,ə g ʋ ɑː n
अगवान,ə g ʋ ɑː n
अगवानी,ə g ʋ ɑː n iː
अगवानी,ə g ʋ ɑː n iː
अगवार,ə g ʋ ɑː ɾ
अगस्त,ə g ə s t̪
अगस्ति,ə g ə s t̪ ɪ
अगस्त्य,ə g ə s t̪ j ə
अगहन,ə g ɦ ə n
अगहनिया,ə g ɦ ə n ɪ j ɑː
अगहनी,ə g ɦ ə n iː
अगाऊ,ə g ɑː uː
अगाड़ी,ə g ɑː ɽ iː
अगाध,ə - g ɑː d̪ʱ
अगाधता,ə g ɑː d̪ʱ ə t̪ ɑː
अगास,ə g ɑː s
आगासी,ə g ɑː s iː
आगिया,ə g ɪ j ɑː
अगियाना,ə g ɪ j ɑː n ɑː
अगियारी,ə g ɪ j ɑː ɾ iː
अगुआ,ə g ʊ ɑː
अगुआई,ə g ʊ ɑː iː
अगुण,ə - g ʊ n
अगुणी,ə - g ʊ n iː
अगुवा,ə g ʊ ʋ ɑː
अगूढ़,ə - g uː ɽʱ
अगोचर,ə - g oː t͡ʃ ə ɾ
आगोट-,ə g oː ʈ -
अगोत्री,ə - g oː t̪ ɾ iː
अगोरा,ə g oː ɾ ɑː
अगोरना,ə g oː ɾ n ɑː
अगौनी,ə g ɔː n iː
अगौर,ə g ɔː ɾ
अग्ग्रास,ə g g ɾ ɑː s
अग्नि,ə g n ɪ
अग्र,ə g ɾ ə
अग्रणी,ə g ɾ ə n iː
अग्रता,ə g ɾ ə t̪ ɑː
अग्राह्य,ə - g ɾ ɑː ɦ j ə
अग्रिम,ə g ɾ ɪ m
अघ,ə gʱ
अघट,ə - gʱ ə ʈ
अघटित,ə - gʱ ə ʈ ɪ t̪
अघाई,ə gʱ ɑː iː
अघाई,ə gʱ ɑː iː
अघाना,ə gʱ ɑː n ɑː
अघाना,ə gʱ ɑː n ɑː
अघोर,ə - gʱ oː ɾ
अघोरी,ə gʱ oː ɾ iː
अघोरीपन,ə gʱ oː ɾ iː p ə n
अघोरीपना,ə gʱ oː ɾ iː p ə n ɑː
अघोष,ə - gʱ oː ʃ
अचंचल,ə - t͡ʃ ə n t͡ʃ ə l
अचंड,ə - t͡ʃ ə n ɖ
अचंभा,ə t͡ʃ ə m bʱ ɑː
अचंभित,ə t͡ʃ ə m bʱ ɪ t̪
अच-,ə t͡ʃ -
अंचक,ə t͡ʃ ə k
अंचक,ə t͡ʃ ə k
अचक-,ə t͡ʃ ə k -
अचकचाना,ə t͡ʃ k ə t͡ʃ ɑː n ɑː
अचकचाहट,ə t͡ʃ k ə t͡ʃ ɑː ɦ ə ʈ
अचकन,ə t͡ʃ k ə n
अचक्षु,ə - t͡ʃ ə k ʃ ʊ
अचतुर,ə - t͡ʃ ə t̪ ʊ ɾ
अचपल,ə - t͡ʃ ə p ə l
अचपल,ə t͡ʃ p ə l
अचपलता,ə t͡ʃ p ə l t̪ ɑː
अचपला,ə t͡ʃ p ə l ɑː
अचपलापन,ə t͡ʃ p ə l ɑː p ə n
अचपली,ə t͡ʃ p ə l iː
अचर,ə - t͡ʃ ə ɾ
अचरज,ə t͡ʃ ə ɾ ə d͡ʒ
अचरा,ə t͡ʃ ɾ ɑː
अचल,ə - t͡ʃ ə l
अचला,ə - t͡ʃ ə l ɑː
अचव-,ə t͡ʃ ə ʋ -
अचवन,ə t͡ʃ ʋ ə n
अचवाना,ə t͡ʃ ʋ ɑː n ɑː
अचांचक,ə t͡ʃ ɑː n t͡ʃ ə k
अचाका,ə t͡ʃ ɑː k ɑː
अचानक,ə t͡ʃ ɑː n ə k
अचाना,ə t͡ʃ ɑː n ɑː
अचार,ə t͡ʃ ɑː ɾ
अचार,ə t͡ʃ ɑː ɾ
अचिंत,ə - t͡ʃ ɪ n t̪
अचिंतनीय,ə - t͡ʃ ɪ n t̪ ə n iː j ə
अचिंता,ə - t͡ʃ ɪ n t̪ ɑː
अचिंतित,ə - t͡ʃ ɪ n t̪ ɪ t̪
अचिंत्य,ə - t͡ʃ ɪ n t̪ j ə
अचिकित्स्य,ə - t͡ʃ ɪ k ɪ t̪ s j ə
अचिर,ə - t͡ʃ ɪ ɾ
अचीता,ə - t͡ʃ iː t̪ ɑː
अचूक,ə - t͡ʃ uː k
अचेत,ə - t͡ʃ eː t̪
अचेतन,ə - t͡ʃ eː t̪ ə n
अचेतनता,ə - t͡ʃ eː t̪ ə n ə t̪ ɑː
अचेतपना,ə t͡ʃ eː t̪ p ə n ɑː
अचेष्ट,ə - t͡ʃ eː ʃ ʈ
अचैतन्य,ə - t͡ʃ ɛː t̪ ə n j ə
अचैन,ə - t͡ʃ ɛː n
अचौन,ə t͡ʃ ɔː n
अच्छ,ə t͡ʃ t͡ʃʰ
अच्छ,ə t͡ʃ t͡ʃʰ
अच्छत,ə t͡ʃ t͡ʃʰ ə t̪
अच्छर,ə t͡ʃ t͡ʃʰ ə ɾ
अच्छरी,ə t͡ʃ t͡ʃʰ ɾ iː
अच्छा,ə t͡ʃ t͡ʃʰ ɑː
अच्छाई,ə t͡ʃ t͡ʃʰ ɑː iː
अच्छापन,ə t͡ʃ t͡ʃʰ ɑː p ə n
अच्युत,ə - t͡ʃ j ʊ t̪
अछ-,ə t͡ʃʰ -
अछत,ə - t͡ʃʰ ə t̪
अछताना-पछताना,ə t͡ʃʰ t̪ ɑː n ɑː - p ə t͡ʃʰ t̪ ɑː n ɑː
अछरी,ə t͡ʃʰ ə ɾ iː
अछरौटी,ə t͡ʃʰ ɾ ɔː ʈ iː
अछवानी,ə t͡ʃʰ ʋ ɑː n iː
अछूत,ə - t͡ʃʰ uː t̪
अछूता,ə - t͡ʃʰ uː t̪ ɑː
अछेद,ə - t͡ʃʰ eː d̪
अछेव,ə - t͡ʃʰ eː ʋ
अछेह,ə t͡ʃʰ eː ɦ
अंजट,ə d͡ʒ ə n ʈ
अज,ə - d͡ʒ
अज़,ə z
अज-,ə d͡ʒ -
अजगर,ə d͡ʒ ə g ə ɾ
अजगरी,ə d͡ʒ ə g ə ɾ iː
अजगव,ə d͡ʒ g ə ʋ
अजगुत,ə d͡ʒ g ʊ t̪
अजदहा,ə d͡ʒ d̪ ə ɦ ɑː
अजनबी,ə d͡ʒ n ə b iː
अजनबीपन,ə d͡ʒ n ə b iː p ə n
अजनबीयत,ə d͡ʒ n ə b iː j ə t̪
अजन्म,ə - d͡ʒ ə n m
अजन्मा,ə - d͡ʒ ə n m ɑː
अजब,ə d͡ʒ ə b
अज़मत,ə z m ə t̪
अजमूद,ə d͡ʒ m uː d̪
अजमोद,ə d͡ʒ m oː d̪
अजमोदा,ə d͡ʒ m oː d̪ ɑː
अजय,ə - d͡ʒ ə j
अजर,ə - d͡ʒ ə ɾ
अजरायल,ə d͡ʒ ə ɾ ɑː j ə l
अजल,ə d͡ʒ ə l
अजल,ə - d͡ʒ ə l
अजवाइन,ə d͡ʒ ʋ ɑː ɪ n
अजवायन,ə d͡ʒ ʋ ɑː j n
अजस्त्र,ə - d͡ʒ ə s ɾ ə
अज़ा,ə z ɑː
अजात,ə - d͡ʒ ɑː t̪
अजात,ə - d͡ʒ ɑː t̪
अजाति,ə - d͡ʒ ɑː t̪ ɪ
अजाती,ə d͡ʒ ɑː t̪ iː
अजान,ə - d͡ʒ ɑː n
अज़ान,ə z ɑː n
अजानपन,ə - d͡ʒ ɑː n p ə n
अजाना,ə - d͡ʒ ɑː n ɑː
अजानी,ə - d͡ʒ ɑː n iː
अज़ाब,ə z ɑː b
अजायब,ə d͡ʒ ɑː j b
प्रजार,ə d͡ʒ ɑː ɾ
अजित,ə - d͡ʒ ɪ t̪
अजिन,ə d͡ʒ ɪ n
अजिर,ə d͡ʒ ɪ ɾ
अजी,ə d͡ʒ iː
अज़ीज़,ə z iː z
अज़ीज़ी,ə z iː z iː
अजीत,ə - d͡ʒ iː t̪
अजीब,ə d͡ʒ iː b
अज़ीम,ə z iː m
अजीरन,ə - d͡ʒ iː ɾ ə n
अजीर्ण,ə - d͡ʒ iː ɾ n
अजीव,ə - d͡ʒ iː ʋ
अजूठा,ə - d͡ʒ uː ʈʰ ɑː
अजूबा,ə d͡ʒ uː b ɑː
अजूरा,ə d͡ʒ uː ɾ ɑː
अजोड़,ə - d͡ʒ oː ɽ
अजोत,ə - d͡ʒ oː t̪
अजोत,ə - d͡ʒ oː t̪
अजौरी,ə d͡ʒ ɔː ɾ iː
अजौली,ə d͡ʒ ɔː l iː
अज्ञ,ə - g j ə
अज्ञता,ə - g j ə t̪ ɑː
अज्ञात,ə - g j ɑː t̪
अज्ञान,ə - g j ɑː n
अज्ञानता,ə - g j ɑː n ə t̪ ɑː
अज्ञानपन,ə - g j ɑː n p ə n
अज्ञानी,ə - g j ɑː n iː
अज्ञेय,ə - g j eː j
अटंबर,ə ʈ ə m b ə ɾ
अट-,ə ʈ -
अट-,ə ʈ -
अटक,ə ʈ ə k
अटकना,ə ʈ ə k n ɑː
अटकर,ə ʈ k ə ɾ
अटकल,ə ʈ k ə l
अटकलना,ə ʈ k ə l n ɑː
अटका,ə ʈ k ɑː
अटका,ə ʈ k ɑː
अटकाना,ə ʈ k ɑː n ɑː
अटकाव,ə ʈ k ɑː ʋ
अटन,ə ʈ ə n
अटना,ə ʈ n ɑː
अटपट,ə ʈ p ə ʈ
अटपटाँग,ə ʈ p ə ʈ ɑː ŋ g
अटपटा,ə ʈ p ə ʈ ɑː
अटपटाना,ə ʈ p ə ʈ ɑː n ɑː
अटपटी,ə ʈ p ə ʈ iː
अटम,ə ʈ ə m
अटम-पटम,ə ʈ ə m - p ə ʈ ə m
अटल,ə - ʈ ə l
अटवाटी-खटवाटी,ə ʈ ʋ ɑː ʈ iː - kʰ ə ʈ ʋ ɑː ʈ iː
अटवी,ə ʈ ə ʋ iː
अट-सट,ə ʈ - s ə ʈ
अटा,ə ʈ ɑː
अटाटूट,ə ʈ ɑː ʈ uː ʈ
अटाना,ə ʈ ɑː n ɑː
अटारी,ə ʈ ɑː ɾ iː
अटाल,ə ʈ ɑː l
अटाला,ə ʈ ɑː l ɑː
अटिया,ə ʈ ɪ j ɑː
अटूट,ə - ʈ uː ʈ
अटेक,ə - ʈ eː k
अटेरन,ə ʈ eː ɾ ə n
अटेरना,ə ʈ eː ɾ n ɑː
अटोक,ə - ʈ oː k
अट्ट,ə ʈ ʈ
अट्ट-सट्ट,ə ʈ ʈ - s ə ʈ ʈ
अट्टहास,ə ʈ ʈ ə ɦ ɑː s
अट्टा,ə ʈ ʈ ɑː
अट्टालिका,ə ʈ ʈ ɑː l ɪ k ɑː
अट्टी,ə ʈ ʈ iː
अट्ठा,ə ʈ ʈʰ ɑː
अट्ठाईस,ə ʈ ʈʰ ɑː iː s
अट्ठानवे,ə ʈ ʈʰ ɑː n ʋ eː
अट्ठावन,ə ʈ ʈʰ ɑː ʋ ə n
अट्ठासी,ə ʈ ʈʰ ɑː s iː
अठ-,ə ʈʰ -
अठखेलपन,ə ʈʰ kʰ eː l p ə n
