Abkürzung;ʔ a p k ʏɐ ts ʊ ŋ
Abkürzungsverzeichnis;ʔ a p k yː r ts ʊ ŋ s f ɛɐ t s aɪ ç n ɪ s
Ablagerung;ʔ a p l aː ɡ ə r ʊ ŋ
Ablass;ʔ a p l a s
Ablasshandel;ʔ a p l a s ʃ a n d ə l
Ablassventil;ʔ a p l a s v ɛ n t iː l
Ablaut;ʔ a p l aʊ t
Ableben;ʔ a p l eː b ə n
Ableger;ʔ a p l eː ɡ ɐ
Ablehnung;ʔ a p l eː n ʊ ŋ
Ableitung;ʔ a p l aɪ t ʊ ŋ
Ablöse;ʔ a p l øː z ə
Ablösung;ʔ a p l øː z ʊ ŋ
Abmachung;ʔ a p m a x ʊ ŋ
Abnahme;ʔ a p n aː m ə
Abnehmertausch;ʔ a p n eː m ɐ t aʊ ʃ
Abneigung;ʔ a p n aɪ ɡ ʊ ŋ
Abnutzung;ʔ a p n ʊ t s ʊ ŋ
Abo;ʔ a b o
Abonnement;ʔ a b ɔ n n e m ɛ n t
Abonnent;ʔ a b ɔ n ɛ n t
Abonnentin;ʔ a b ɔ n ɛ n t ɪ n
Abordnungsgeld;ʔ a b ɔɐ t s n ʊ ŋ s ɡ ɛ l t
Abort;ʔ a b oːɐ r t
Abpfiff;ʔ a p p f ɪ f
Abrasion;ʔ a p r a z j oː n
Abrasionsplatte;ʔ a p r a z j oː n s p l a t ə
Abrede;ʔ a p r eː d ə
Abreicherung;ʔ a p r aɪ ç ə r ʊ ŋ
Abrieb;ʔ a p r iː p
Abriss;ʔ a p r ɪ s
Absage;ʔ a p z aː ɡ ə
Absättigung;ʔ a p z ɛ t ɪ ɡ ʊ ŋ
Absatz;ʔ a p z a t s
Absatzzeichen;ʔ a p z a t s t s aɪ ç ə n
Abschaffung;ʔ a p ʃ a f ʊ ŋ
Abschattung;ʔ a p ʃ a t ʊ ŋ
Abschaum;ʔ a p ʃ aʊ m
Abscheulichkeit;ʔ a p ʃ ɔʏ l ɪ ç k aɪ t
Abschiedsbrief;ʔ a p ʃ iː t s b r iː f
Abschiedsgeschenk;ʔ a p ʃ iː t s ɡ ə ʃ ɛ ŋ k
Abschirmung;ʔ a p ʃ i r m ʊ ŋ
Abschlag;ʔ a p ʃ l aː k
Abschleppwagen;ʔ a p ʃ l ɛ p ʊ v aː ɡ ə n
Abschluss;ʔ a p ʃ l ʊ s
Abschnitt;ʔ a p ʃ n ɪ t
Abschottung;ʔ a p ʃ ɔ t ʊ ŋ
Abschrecken;ʔ a p ʃ r ɛ k ə n
Abschreckung;ʔ a p ʃ r ɛ k ʊ ŋ
Abschreibung;ʔ a p ʃ r aɪ b ʊ ŋ
Abschußring;ʔ a p ʃ uː s r ɪ ŋ
Abschweifung;ʔ a p ʃ v aɪ f ʊ ŋ
Abschwung;ʔ a p ʃ v ʊ ŋ
Abseits;ʔ a p z aɪ t s
Absender;ʔ a p z ɛ n d ɐ
Absenkung;ʔ a p z ə n k ʊ ŋ
Absicht;ʔ a p z ɪ ç t
Absiedler;ʔ a p z iː d l ɐ
Absinth;ʔ a p s ʔ ɪ n t
Absolvent;ʔ a p z ɔ l v ɛ n t
Absorber;ʔ a p s f r b ɐ
Absorption;ʔ a p s f r p ts j oː n
Absorptionsgrad;ʔ a p s f r p ts j oː n s ɡ r a t
Absperre;ʔ a p ʃ p ɛ r ə
Abstammungsbescheid;ʔ a p ʃ t a m ʊ ŋ s b ə ʃ aɪ t
Abstecher;ʔ a p ʃ t ɛ ç ɐ
Abstieg;ʔ a p ʃ t iː k
Abstimmung;ʔ a p ʃ t ɪ m ʊ ŋ
Abstimmungsort;ʔ a p ʃ t ɪ m ʊ ŋ s f r t
Abstract;ʔ a p ʃ t r a k t
Abstrafung;ʔ a p s t r aː f ʊ ŋ
Abstrahlung;ʔ a p ʃ t r aː l ʊ ŋ
Abstraktum;ʔ a p s t r a k t ʊ m
Abstrebung;ʔ a p s t r eː b ʊ ŋ
Absturz;ʔ a p ʃ t ʊɐ ts
Abszess;ʔ a p s ts ɛ s
Abszisse;ʔ a p s ts ɪ s ə
Abt;ʔ a p t
Abtei;ʔ a p t aɪ
Abteil;ʔ a p t aɪ l
Abteilung;ʔ a p t aɪ l ʊ ŋ
Abteilungsleiter;ʔ a p t aɪ l ʊ ŋ s l aɪ t ɐ
Äbtissin;ʔ ɛ p t ɪ s iː n
Abtransport;ʔ a p t r a n s p oːɐ r t
Abtrennung;ʔ a p t r ɛ n ʊ ŋ
Abwanderung;ʔ a p v a n d ə r ʊ ŋ
Abwärme;ʔ a p v ɐ m ə
Abwasser;ʔ a p v a s ɐ
Abwehr;ʔ a p v eːɐ
Abwehrstoff;ʔ a p v eː ɐ ʃ t ɔ f
Abweichung;ʔ a p v aɪ ç ʊ ŋ
Abwesenheit;ʔ a p v eː z ə n h aɪ t
Abwesenheitspfleger;ʔ a p v eː z ə n h aɪ t s p f l eː ɡ ɐ
Abzeichen;ʔ a p ts aɪ ç ə n
Abzocke;ʔ a p ts ɔ k ə
Abzug;ʔ a p ts uː k
Abzweigung;ʔ a p ts v aɪ ɡ ʊ ŋ
Accessoire;ʔ ɛ k s t z o i r ə
Acetal;ʔ aː ts ə t aː l
Acetamid;ʔ aː ts ə t a m ɪ t
Acetat;ʔ aː ts ə t aː t
Acetessigsäure;ʔ aː ts ə t ɛ s ɪ ç z ɔʏ r ə
Acetylen;ʔ aː ts ə t yː l ə n
Acetylid;ʔ aː ts ə t yː l ɪ t
Acetylrest;ʔ aː ts ə t ʏ l r ɛ s t
Acetylsalicylsäure;ʔ aː ts ə t aɪ l s ʔ a l ɪ s ʏ l z ɔʏ r ə
Achäne;ʔ a x ɛː n ə
Achat;ʔ a x aː t
Achatschnecke;ʔ a k a t ʃ n ɛ k ə
Achse;ʔ a k s ə
Achsel;ʔ a k s ə l
Achselchen;ʔ a k s ə l ç ə n
Ächselchen;ʔ ɛ ç z ə l ç ə n
Achselhöhle;ʔ a k s ə l h øː l ə
Achtbarkeit;ʔ a x t b aː r k aɪ t
Achteck;ʔ a x t ʔ ɛ k
Achtel;ʔ a x t ə l
Achtelnote;ʔ a x t ə l n oː t ə
Achtziger;ʔ a x t s ɪ ɡ ɐ
Acker;ʔ a k ɐ
Ackerboden;ʔ a k ɐ b oː d ə n
Ackerschachtelhalm;ʔ a k ɐ ʃ a x t ə l h a l m
Acrylfarbe;ʔ a k r i l f a r b ə
Acrylglas;ʔ a k r ʏ l ɡ l aː s
Actinium;ʔ a k t iː n j ʊ m
Acyloin;ʔ ɛ s yː l o ʔ ɪ n
Adamin;ʔ aː d a m iː n
Adamsapfel;ʔ aː d a m s ʔ a p f ə l
Adapter;ʔ aː d a p t ɐ
Adaptierte;ʔ aː d a p t iː r t ə
Adäquatheit;ʔ a d ɛ k v a t h aɪ t
Additiv;ʔ a d i t iː f
Addukt;ʔ a t d ʊ k t
Adeliepinguin;ʔ aː d e l iː p ɪ ŋ ɡ u ɪ n
Adelung;ʔ aː d e l ʊ ŋ
Adenin;ʔ aː d eː n ɪ n
Adenosin;ʔ aː d eː n oː z iː n
Ader;ʔ aː d ɐ
Aderhaut;ʔ aː d ɐ h aʊ t
Aderlass;ʔ aː d ɐ l a s
Adhäsion;ʔ a t h ɛː z j oː n
Adjektiv;ʔ a t j ɛ k t iː f
Adjutant;ʔ a d j u t a n t
Adler;ʔ aː d l ɐ
Adlerbussard;ʔ aː d l ɐ b ʊ s a r t
Administrator;ʔ a t m i n ɪ s t r aː t ɔ r
Adrenalin;ʔ a d r ə n a l iː n
Adstringens;ʔ a t ʃ t r ɪ ŋ ə n s
Advent;ʔ a t v ɛ n t
Adventskalender;ʔ a t v ɛ n t s k a l ɛ n d ɐ
Adventskranz;ʔ a t v ɛ n t s k r a n t s
Adverb;ʔ a t v ɐ p
Advokat;ʔ a t v o k aː t
Aerogel;ʔ ɛ r o ɡ ə l
Aerosol;ʔ ɛ r o z ə l
Affe;ʔ a f ə
Affekt;ʔ a f ɛ k t
Affenbrotbaum;ʔ a f ə n b r oː t b aʊ m
Affenente;ʔ a f ə n ɛ n t ə
Affenpinscher;ʔ a f ə n p ɪ n ʃ ɐ
Äffin;ʔ ɛ f i n
Affinität;ʔ a f i n i t ɛː t
Affix;ʔ a f ɪ k s
Affront;ʔ a f r ɔ n t
Afrikaner;ʔ a f r i k aː n ɐ
Afroamerikaner;ʔ a f r o ʔ a m e r i k aː n ɐ
Afterlehen;ʔ a f t ɐ l eː ə n
Aftershave;ʔ a f t ɐ s h aː v ə
Agenda;ʔ aː ɡ ə n d a
Agent;ʔ a ɡ ɛ n t
Agentin;ʔ a ɡ ɛ n t iː n
Agglomeration;ʔ a ɡ l o m e r a ts j oː n
Aggregat;ʔ a ɡ r e ɡ a t
Aggressor;ʔ a ɡ r ɛ s ɔ r
Agitator;ʔ a ɡ i t a t t ɐ
Agnostiker;ʔ a ɡ n ɔ s t ɪ k ɐ
Agon;ʔ a ɡ ɔ n
Agonie;ʔ a ɡ oː n j ə
Agoraphobie;ʔ a ɡ o r a f o b iː
Ägypter;ʔ ɛ ɡ ʏ p t ɐ
Ägypterin;ʔ ɛ ɡ ʏ p t ə r ɪ n
Ägyptologin;ʔ ɛ ɡ ʏ p t o l oː ɡ ɪ n
Aha-Erlebnis;ʔ a h a ʔ ɛɐ l eː p n ɪ s
Ahle;ʔ aː l ə
Ahn;ʔ aː n
Ahndung;ʔ aː n d ʊ ŋ
Ahnenschein;ʔ aː n ə n ʃ aɪ n
Ahnentafel;ʔ aː n ə n t aː f ə l
Ahnung;ʔ aː n ʊ ŋ
Ähre;ʔ ɛː r ə
Aikido;ʔ aɪ k iː d o
Airbag;ʔ ɛːɐ b ɛ k
Airport;ʔ ɛːɐ p ɔɐ t
Akademie;ʔ a k a d e m iː
Akademiker;ʔ a k a d e m ɪ k ɐ
Akanthit;ʔ a k a n t i t
Akdalait;ʔ a k d a l aɪ t
Akelei;ʔ aː k ə l aɪ
Akkadierin;ʔ a k aː d iː r ɪ n
Akkord;ʔ a k oːɐ r t
Akkordeon;ʔ a k ɔɐ d e ɔ n
Akkordeonspieler;ʔ a k ɔɐ t ə ʔ ɛ oː n ʃ p iː l ɐ
Akkordeonspielerin;ʔ a k ɔɐ t ə ʔ ɛ oː n ʃ p iː l ə r ɪ n
Akku;ʔ a k u
Akkumulator;ʔ a k t m u l aː t ɔ r
Akolyth;ʔ a k o l yː t
Akrobat;ʔ a k r o b aː t
Akronym;ʔ a k r o n yː m
Akt;ʔ a k t
Aktenkoffer;ʔ a k t ə n k ɔ f ɐ
Aktenordner;ʔ a k t ə n ʔ ɔɐ d n ɐ
Aktentasche;ʔ a k t ə n t a ʃ ə
Akteur;ʔ a k t øːɐ
Aktienkurs;ʔ a k ts j ɛ ŋ k ʊɐ s
Aktienmarkt;ʔ a k ts j ə n m a r k t
Aktionär;ʔ a k ts j o n ɛːɐ
Aktionspotential;ʔ a k ts j oː n s p o t ɛ n ts j aː l
Aktivismus;ʔ a k t ʔ i v ɪ s m ʊ s
Aktivist;ʔ a k t i v ɪ s t
Aktivistin;ʔ a k t i v ɪ s t iː n
Aktivität;ʔ a k t ɪ v ɪ t ɛː t
Aktivkohle;ʔ a k t iː v k oː l ə
Aktualisierung;ʔ a k t u a l i z iː r ʊ ŋ
Akustikkoppler;ʔ a k ʊ s t ɪ k k ɔ p l ɐ
Akut;ʔ a k uː t
Akzent;ʔ a k ts ɛ n t
Alabaster;ʔ a l a b a s t ɐ
Alarm;ʔ a l a r m
Alarmanlage;ʔ a l a r m ʔ a n l aː ɡ ə
Alarmsignal;ʔ a l a r m z iː k n aː l
Alaun;ʔ a l ʔ aʊ n
Alb;ʔ a l p
Albaner;ʔ a l b aː n ɐ
Albatros;ʔ a l b a t r ɔ s
Albino;ʔ a l b iː n o
Albit;ʔ a l b iː t
Albtraum;ʔ a l p t r aʊ m
Album;ʔ a l b ʊ m
Alchemist;ʔ a l ç e m ɪ s t
Aldehyd;ʔ a l d ə h yː t
Alexandrit;ʔ a l ɛ k s ʔ a n t r i t
Alexithymie;ʔ a l ɛ k s i t ʏ m iː
Alge;ʔ a l ɡ ə
Algerier;ʔ a l ɡ ə r iː ə
Algorithmus;ʔ a l ɡ o r ɪ t m ʊ s
Alibi;ʔ a l iː b i
Alkali;ʔ a l k aː l i
Alkalihydroxid;ʔ a l k aː l ɪ y d r ɔ k s iː t
Alkalimetall;ʔ a l k a l i m ə t a l
Alkalimetallsalz;ʔ a l k a l i m ə t a l s ʔ a l ts
Alkaloid;ʔ a l k aː l ɔʏ t
Alkan;ʔ a l k aː n
Alken;ʔ a l k ə n
Alkin;ʔ a l k ɪ n
Alkohol;ʔ a l k o h oː l
Alkoholat;ʔ a l k o h o l a t
Alkoholgehalt;ʔ a l k o h oː l ɡ ə h a l t
Alkoholiker;ʔ a l k o h o l ɪ k ɐ
Alkyl;ʔ a l k yː l
Alkylbromid;ʔ a l k i l b r o m iː t
Alkylhalogenid;ʔ a l k i l h a l oː ɡ ə n ɪ d
Alkylierung;ʔ a l k i l iː r ʊ ŋ
Alkylrest;ʔ a l k ʏ l r ɛ s t
All;ʔ a l
Allargentum;ʔ a l a r ɡ ə n t uː m
Allee;ʔ a l eː
Allegorie;ʔ a l eː ɡ o r iː
Alleingang;ʔ a l aɪ n ɡ a ŋ
Allemontit;ʔ a l ə m ɔ n t iː t
Allergen;ʔ a l ɐ ɡ ə n
Allergie;ʔ a l ɐ ɡ iː
Allerlei;ʔ a l ɐ l aɪ
Allesfresser;ʔ a l ə s f r ɛ s ɐ
Alleskönner;ʔ a l ə s k œ n ɐ
Allgemeinbefinden;ʔ a l ɡ ə m aɪ n b ə f ɪ n d ə n
Allgemeinwissen;ʔ a l ɡ ə m aɪ n v ɪ s ə n
Allheilmittel;ʔ a l h aɪ l m ɪ t ə l
Allianz;ʔ a l j a n ts
Alligator;ʔ a l i ɡ aː t t ɐ
Alliierte;ʔ a l j iː ʔ iː r t ə
Allmacht;ʔ a l m a x t
Allmächtigkeit;ʔ a l m ɛ ç t ɪ ç k aɪ t
Allotria;ʔ a l o t r iː a
Allotrop;ʔ a l o t r oː p
Allotropie;ʔ a l o t r oː p iː
Allradantrieb;ʔ a l r a d a n t r iː p
Alltag;ʔ a l t aː k
Alltagstrott;ʔ a l t aː k ʃ t r oː t
Allüre;ʔ a l yː r ə
Allusion;ʔ a l u z j oː n
Alm;ʔ a l m
Almanach;ʔ a l m a n a x
Almhütte;ʔ a l m h ʏ t ə
Alpacca;ʔ a l p a k a
Alpaka;ʔ a l p a k a
Alpenbewohner;ʔ a l p ə n b ə v oː n ɐ
Alpenglühen;ʔ a l p ə n ɡ l yː ə n
Alpenveilchen;ʔ a l p ə n f aɪ l ç ə n
Alpenverein;ʔ a l p ə n v ɐ ʔ aɪ n
Alpha;ʔ a l f a
Alphabet;ʔ a l f a b eː t
Alphateilchen;ʔ a l f aː t aɪ l ç ə n
Alpha-Version;ʔ a l f a v ɛɐ z j oː n
Alphütte;ʔ a l f ʏ t ə
Alraune;ʔ a l r aʊ n ə
Altarm;ʔ a l t a r m
Altbau;ʔ a l t b aʊ
Alterität;ʔ a l t e r i t ɛː t
Alternative;ʔ a l t ɛɐ n a t iː v ə
Alterserscheinung;ʔ a l t ɐ z ɐ ʃ aɪ n ʊ ŋ
Altersgruppe;ʔ a l t ɐ s ɡ r ʊ p ə
Altersheim;ʔ a l t ɐ s h aɪ m
Altersunterschied;ʔ a l t ɐ z ʊ n t ɐ ʃ iː t
Alterungsprozess;ʔ a l t ə r ʊ ŋ s p r o t s ɛ s
Altlast;ʔ a l t l a s t
Altmaterial;ʔ a l t m aː t ə r j aː l
Altruist;ʔ a l t r u ɪ s t
Altwasser;ʔ a l t v a s ɐ
Altweibersommer;ʔ a l t v aɪ b ɐ z ɔ m ɐ
Aluminat;ʔ a l u m i n a t
Aluminiumblech;ʔ a l u m iː n j ʊ m b l ɛ ç
Aluminiumgalliumarsenid;ʔ a l u m iː n j ʊ m ɡ a l j ʊ m a r z e n iː t
Aluminiumgeschirr;ʔ a l u m iː n j ʊ m ɡ ə ʃ i r
Aluminiumoxid;ʔ a l u m iː n j ʊ m ɔ k s iː t
Aluminiumsalz;ʔ a l u m iː n j ʊ m z a l ts
Aluminiumsilikat;ʔ a l u m iː n j ʊ m z iː l i k a t
Aluminiumsulfat;ʔ a l u m iː n j ʊ m z ʊ l f aː t
Aluminosilikat;ʔ a l u m i n o z iː l i k a t
Alveolar;ʔ a l v ɛ o l a r
Amalgam;ʔ a m a l ɡ ə m
Amarant;ʔ a m a r a n t
Amateur;ʔ a m a t øːɐ
Amazonenameise;ʔ a m a ts oː n ə n a m aɪ z ə
Amazonien-Tropfenameisenwürger;ʔ a m a ts oː n j ə n t r ɔ p f ə n a m aɪ z ə n v yː r ɡ ɐ
Ambiguität;ʔ a m b i ɡ u i t ɛː t
Amblygonit;ʔ a m b l y ɡ o n iː t
Amboss;ʔ a m b ɔ s
Ambulanz;ʔ a m b u l a n ts
Ameise;ʔ aː m aɪ z ə
Ameisenbär;ʔ aː m aɪ z ə n b ɐ
Ameisenhaufen;ʔ aː m aɪ z ə n h aʊ f ə n
Ameisenhügel;ʔ aː m aɪ z ə n h yː ɡ ə l
Ameisenigel;ʔ aː m aɪ s ə n ɪ ɡ ə l
Ameisenkönigin;ʔ aː m aɪ z ə n k øː n ɪ ɡ ɪ n
Ameisenwürger;ʔ aː m aɪ z ə n v yː r ɡ ɐ
Americium;ʔ a m e r ɪ ts j ʊ m
Amerikanerin;ʔ a m e r i k aː n ə r ɪ n
Amethyst;ʔ a m ɛ t ʏ s t
Ami;ʔ a m i
Amid;ʔ a m ɪ t
Amin;ʔ a m iː n
Amme;ʔ a m ə
Ammenmärchen;ʔ a m eː n m ɐ ç ə n
Ammer;ʔ a m ɐ
Ammoniak;ʔ a m oː n j a k
Ammoniakat;ʔ a m oː n j a k a t
Ammonium;ʔ a m oː n j ʊ m
Ammoniumsalz;ʔ a m oː n j ʊ m z a l ts
Ammoniumsulfat;ʔ a m oː n j ʊ m z ʊ l f aː t
Amnestie;ʔ a m n ɛ s t iː
Amöbe;ʔ a m øː b ə
Amoklauf;ʔ aː m ɔ k l aʊ f
Amokläufer;ʔ aː m ɔ k l ɔʏ f ɐ
Amokläuferin;ʔ aː m ɔ k l ɔʏ f ə r ɪ n
Ampel;ʔ a m p ə l
Amphibienfahrzeug;ʔ a m f iː b j ə n f aː r ts ɔʏ k
Amphiprostylos;ʔ a m f i p r o s t yː l oː s
Amphore;ʔ a m f oː r ə
Amphoter;ʔ a m f oː t ɐ
Amplitude;ʔ a m p l i t uː d ə
Amplitudenmodulation;ʔ a m p l i t u d ə n m o d u l a ts j oː n
Ampulle;ʔ a m p u l ə
Amputation;ʔ a m p uː t a ts j oː n
Amputierte;ʔ a m p uː t iː r t ə
Amsel;ʔ a m z ə l
Amt;ʔ a m t
Amtsantritt;ʔ a m t s ʔ a n t r ɪ t
Amtsgericht;ʔ a m t s ɡ ə r ɪ ç t
Amtsinhaber;ʔ a m t s ʔ ɪ n h aː b ɐ
Amtsinhaberin;ʔ a m t s ʔ ɪ n h aː b ə r ɪ n
Amtskollege;ʔ a m t s k ɔ l eː ɡ ə
Amtskollegin;ʔ a m t s k ɔ l eː ɡ ɪ n
Amtsschimmel;ʔ a m t s ʃ ɪ m ə l
Amtsträger;ʔ a m t s t r ɛː ɡ ɐ
Amtsverzicht;ʔ a m t s f ɐ ts ɪ ç t
Amulett;ʔ a m u l ɛ t
Amüsement;ʔ a m yː z ə m ɛ n t
Anachronismus;ʔ a n aː x r oː n ɪ s m ʊ s
Anagramm;ʔ a n ɪ dʒ r a m
Analemma;ʔ a n aː l ɛ m a
Analgetikum;ʔ a n aː l ɡ ə t i k ʊ m
Analogon;ʔ a n a l o ɡ ɔ n
Analphabet;ʔ a n aː l f ɛ b ə t
Analphabetin;ʔ a n aː l f a b ə t ɪ n
Analyst;ʔ a n a l ʏ s t
Analytik;ʔ a n a l yː t ɪ k
Ananassaft;ʔ a n a n aː s a f t
Anapäst;ʔ a n a p ʔ ɛ s t
Anaphrodisiakum;ʔ a n a f r ɔ d iː z j aː k ʊ m
Anarchie;ʔ a n a r ç iː
Anarchist;ʔ a n a r ç ɪ s t
Anbetung;ʔ a n b e t ʊ ŋ
Anbieter;ʔ a n b iː t ɐ
Anchovis;ʔ a n ç oː v ɪ s
Änderung;ʔ ɛ n d ə r ʊ ŋ
Andorraner;ʔ a n d ɔ r aː n ɐ
Andorranerin;ʔ a n d ɔ r aː n ə r ɪ n
Andragogik;ʔ a n t r aː ɡ oː ɡ ɪ k
Android;ʔ a n d r ɔʏ t
Androide;ʔ a n d r ɔʏ d ə
Andrologie;ʔ a n d r o l o ɡ iː
Anekdote;ʔ a n ə k d oː t ə
Anerkennung;ʔ a n ʔ ɛɐ k ɛ n ʊ ŋ
Aneurysma;ʔ a n ɔʏ r y s m a
Anfahrt;ʔ a n f aː r t
Anfall;ʔ a n f a l
Anfänger;ʔ a n f ɛ ŋ ɐ
Anfängerin;ʔ a n f ɛ ŋ ə r ɪ n
Anflug;ʔ a n f l uː k
Anführer;ʔ a n f yː r ɐ
Anführungszeichen;ʔ a n f yː r ʊ ŋ s ts aɪ ç ə n
Angabe;ʔ a n ɡ aː b ə
Angeber;ʔ a n ɡ eː b ɐ
Angebot;ʔ a n ɡ ə b oː t
Angel;ʔ a ŋ ə l
Angelegenheit;ʔ a n ɡ ə l eː ɡ ə n h aɪ t
Angelhaken;ʔ a ŋ ə l h aː k ə n
Angesicht;ʔ a n ɡ ə z ɪ ç t
Angewohnheit;ʔ a n ɡ ə v oː n h aɪ t
Angiotensin;ʔ a n ɡ j o t ə n z ɪ n
Angleichung;ʔ a n ɡ l aɪ ç ʊ ŋ
Angler;ʔ a ŋ l ɐ
Anglerfisch;ʔ a n ɡ l ɐ f ɪ ʃ
Anglikaner;ʔ a n ɡ l i k aː n ɐ
Anglikanerin;ʔ a n ɡ l i k aː n ə r ɪ n
Angolaner;ʔ a ŋ ɡ o l aː n ɐ
Angolanerin;ʔ a ŋ ɡ o l aː n ə r ɪ n
Angreifer;ʔ a n ɡ r aɪ f ɐ
Angreiferin;ʔ a n ɡ r aɪ f ə r ɪ n
Angriff;ʔ a n ɡ r ɪ f
Angsthase;ʔ a n ɡ s t aː z ə
Ängstigung;ʔ ɛ ŋ s t ɪ ɡ ʊ ŋ
Ångström;ʔ a n ɡ ʃ t r øː m
Anhalter;ʔ a n h a l t ɐ
Anhaltspunkt;ʔ a n h a l t s p ʊ ŋ k t
Anhang;ʔ a n h a ŋ
Anhänger;ʔ a n h ɛ ŋ ɐ
Anhängsel;ʔ a n h ɛ ŋ z ə l
Anhäufung;ʔ a n h ɔʏ f ʊ ŋ
Anhydrit;ʔ a n h i d r ɪ t
Anilin;ʔ a n i l iː n
Animateur;ʔ a n i m a t øːɐ
Animation;ʔ a n i m a ts j oː n
Anion;ʔ a n j oː n
Anisette;ʔ a n i z ɛ t ə
Anissamen;ʔ a n ɪ s z a m ə n
Anker;ʔ a ŋ k ɐ
Ankerplatz;ʔ a ŋ k ɐ p l a t s
Ankläger;ʔ a n k l ɛː ɡ ɐ
Ankömmling;ʔ a n k œ m l ɪ ŋ
